EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
2.4449,-9.45694,29.4529,24.4175,28.9952,27.7745,25.1805,26.4012,24.1124,21.2132,34.4883,26.2486,32.8099,19.9925,27.9271,15.1097,31.284
4.12337,-13.2716,30.8262,23.502,30.8262,30.0633,27.9271,30.3685,25.0279,24.4175,34.6409,26.7064,34.3357,24.7227,30.3685,25.6382,34.1832
3.51302,-13.4242,29.9107,22.5865,30.5211,30.0633,29.1478,32.1995,25.1805,27.0115,34.0306,26.4012,33.4202,27.1641,32.9625,34.1832,32.1995
1.07161,-10.3725,27.4693,18.7718,29.9107,27.6219,28.8426,29.3004,35.0987,32.6573,36.3194,26.7064,40.5918,26.5538,36.1668,38.303,29.7581
3.20784,-10.9828,33.5728,19.9925,33.878,25.4857,35.2513,27.3167,33.5728,30.3685,40.897,28.8426,42.4229,28.0796,38.9134,41.3548,30.2159
5.0389,-14.6449,34.0306,21.8236,35.709,27.1641,37.0823,29.4529,31.4366,33.7254,39.5237,29.7581,44.254,30.5211,36.6246,42.1177,30.9788
2.90267,-9.76212,26.8589,21.5184,33.2676,31.284,33.4202,34.7935,31.5892,39.3711,34.4883,31.5892,42.7281,33.4202,31.5892,44.1014,30.6736
0.461263,-6.10001,28.5374,24.5701,36.0142,36.3194,36.3194,41.8125,33.7254,43.491,36.0142,34.0306,39.5237,37.3875,33.2676,47.7635,29.9107
2.4449,-9.45694,34.0306,24.7227,42.7281,41.0496,42.5755,46.3902,43.6436,49.1368,41.3548,36.472,47.6109,39.5237,41.66,47.6109,33.2676
3.81819,-13.119,39.066,25.6382,47.4583,42.5755,48.5264,48.2212,43.3384,46.5428,43.491,38.9134,49.4419,40.1341,47.0005,45.4747,36.6246
0.156088,-13.4242,36.1668,23.1968,45.6272,39.3711,47.1531,44.1014,45.0169,44.254,41.3548,34.6409,48.2212,34.7935,47.0005,36.6246,34.9461
0.766439,-10.9828,32.0469,18.7718,42.7281,33.7254,43.3384,36.1668,43.9488,35.8616,40.7444,28.69,48.2212,26.5538,45.7798,21.8236,32.1995
3.36043,-14.9501,35.0987,19.3821,44.254,30.8262,43.9488,32.9625,38.303,28.5374,41.0496,26.4012,47.6109,22.8917,45.0169,13.2786,31.5892
1.83455,-19.9855,34.3357,18.1614,43.1858,31.1314,41.8125,33.115,40.897,32.6573,37.3875,26.096,49.1368,22.8917,42.1177,16.7882,33.7254
-1.36979,-19.6803,34.3357,18.9244,41.0496,31.5892,41.3548,34.1832,36.6246,32.8099,34.6409,27.1641,43.7962,26.4012,39.9815,29.9107,34.6409
-2.28532,-21.0536,33.2676,18.4666,39.066,31.4366,39.5237,33.5728,35.4039,35.709,34.7935,26.2486,43.3384,29.3004,39.5237,40.1341,32.9625
0.766439,-20.4433,29.9107,16.6356,35.5565,30.0633,35.2513,32.9625,31.8943,38.1504,34.3357,26.096,41.8125,30.9788,35.2513,44.1014,30.6736
0.308676,-20.4433,30.3685,19.3821,35.5565,30.5211,35.5565,36.0142,27.3167,39.8289,33.4202,27.3167,37.2349,33.115,32.0469,45.7798,29.6055
