EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
-24.7157,19.3821,-10.0673,-16.0182,-18.0019,-17.3915,-9.45694,-14.4923,-3.50602,-28.3778,-12.8139,-4.72672,-3.20084,0.613851,12.5157,1.2242,-16.476
-23.3424,19.9925,-7.01554,-12.8139,-11.7458,-12.8139,-2.13273,-8.84659,3.81819,-22.2743,-9.45694,0.613851,1.37679,4.58113,15.4149,-1.52238,-11.5932
-21.664,21.0606,-5.79484,-6.71036,-7.4733,-5.64225,3.05526,-1.52238,11.1424,-15.8656,-8.694,8.09065,5.95442,3.81819,17.3985,-1.2172,-6.55777
-23.0373,20.1451,-6.86295,-4.11637,-9.15177,-3.04826,1.07161,0.919027,11.295,-14.9501,-11.8983,11.1424,2.13973,1.52938,14.4993,4.58113,-6.10001
-25.1735,19.9925,-9.45694,-5.48966,-14.9501,-4.57413,-4.11637,-0.301676,7.17513,-15.2553,-18.307,9.61653,-7.93106,0.0035,7.93806,5.64925,-10.3725
-26.3942,21.9761,-11.288,-5.0319,-17.8493,-4.72672,-6.40519,-0.454263,4.73372,-14.9501,-23.1898,6.41219,-14.7975,-4.42155,1.52938,-3.65861,-12.5087
-26.5468,23.9598,-10.5251,-2.13273,-14.9501,-2.28532,-2.89567,2.13973,7.63289,-13.2716,-21.2062,4.42855,-13.882,-6.2526,-0.149088,-6.71036,-10.0673
-25.9364,24.1124,-7.4733,-0.606851,-9.60953,1.98714,4.27596,7.78548,15.2623,-6.2526,-16.6286,4.88631,-9.60953,-0.759439,5.19148,2.13973,-6.55777
-24.8683,22.4339,-3.81119,-1.06461,-5.18448,5.34407,9.92171,13.5838,23.0443,2.59749,-12.8139,5.80184,-5.18448,5.0389,14.4993,11.6002,-4.42155
-23.0373,20.1451,-2.28532,-3.65861,-3.96378,2.75008,9.00618,12.0579,22.8917,3.20784,-8.84659,4.12337,-0.301676,9.92171,21.3658,12.9735,-5.94742
-22.7321,18.314,-4.26896,-8.54142,-7.4733,-5.48966,1.68197,3.05526,13.889,-6.10001,-8.38883,1.98714,1.07161,15.5675,22.2813,11.295,-11.5932
-25.3261,19.077,-8.08365,-12.5087,-11.8983,-11.8983,-4.26896,-4.87931,6.41219,-14.3398,-11.5932,2.4449,-1.52238,16.1778,21.2132,16.0252,-16.3234
-28.683,21.671,-10.8302,-11.1354,-13.882,-12.6613,-4.26896,-6.86295,5.34407,-17.6967,-14.3398,4.73372,-2.59049,11.6002,22.7391,18.1614,-16.3234
