EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
-0.30168,-33.108,-68.5084,-61.79455,-38.75379,-882.4116,-49.2824,-21.2062,-61.0316
-1.5224,-37.5331,-74.1542,-70.03429,-50.96082,-885.1582,-56.7592,-29.2934,-65.4567
-2.8957,-39.2116,-80.4103,-77.3585,-61.48937,-887.1418,-63.6256,-38.296,-69.7291
-2.8957,-39.6693,-83.7672,-82.08872,-67.59288,-888.0573,-66.6774,-44.3995,-71.5602
-0.60685,-39.059,-85.7508,-89.56552,-78.27403,-887.9047,-71.8653,-53.4022,-72.1705
0.30868,-38.296,-88.65,-100.0941,-94.90609,-889.1254,-80.5628,-68.2032,-72.7809
-3.2008,-41.1952,-91.3966,-107.8761,-107.4183,-892.1772,-87.5819,-79.4947,-73.3912
-5.6422,-41.1952,-90.0233,-108.639,-108.639,-890.6513,-86.8189,-78.8844,-72.7809
-2.4379,-37.3805,-84.6827,-102.8407,-103.9088,-883.7849,-80.868,-75.9852,-71.8653
0.15609,-33.108,-77.0533,-90.63364,-95.05868,-877.5288,-75.3749,-78.1214,-70.6446
-2.8957,-28.9882,-68.5084,-75.22227,-77.20591,-874.0193,-69.1188,-73.086,-64.6937
-4.5741,-27.3097,-64.5411,-64.99889,-58.43762,-869.7468,-61.9471,-56.9117,-58.1324
-0.60685,-26.2416,-65.1515,-62.25231,-48.97717,-862.8803,-56.3014,-40.5848,-58.285
1.8346,-26.5468,-64.0834,-59.81091,-44.09437,-857.082,-50.8082,-28.5304,-61.9471
-0.91203,-27.4623,-61.7945,-56.30139,-37.3805,-853.4199,-45.7728,-17.2389,-63.3204
-3.3534,-30.0563,-63.3204,-55.08069,-33.26063,-849.1474,-43.6366,-9.45694,-64.6937
-2.1327,-35.702,-69.1188,-60.87902,-39.51673,-847.3164,-46.5358,-11.5932,-68.5084
-2.1327,-38.1434,-75.3749,-73.08604,-55.84362,-851.1311,-54.3177,-23.495,-71.255
-5.1845,-36.1598,-78.1214,-82.85166,-72.78087,-854.6406,-63.6256,-38.6012,-70.4921
-5.6422,-30.9718,-75.9852,-84.68271,-81.93613,-852.3518,-69.4239,-50.3505,-66.2196
-2.2853,-24.8683,-72.0179,-83.30942,-85.75083,-847.7742,-71.5602,-59.9635,-60.2687
0.0035,-22.7321,-69.5765,-82.69907,-88.80258,-844.5698,-72.7809,-67.7455,-57.6747
-0.75944,-22.5795,-67.8981,-81.32578,-88.49741,-840.6025,-71.7128,-71.1024,-58.8954
-2.4379,-23.9528,-65.9144,-76.44297,-81.32578,-837.3982,-67.5929,-68.661,-59.6583
-2.8957,-24.258,-63.0152,-69.11876,-70.94981,-834.0413,-61.642,-59.3531,-57.9799
-2.1327,-22.7321,-60.1161,-63.93078,-63.77819,-829.1584,-55.8436,-47.6039,-56.6066
