EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
-0.759439,-3.96378,4.12337,-7.16813,-6.55777,0.0035,5.0389,-4.87931,-8.23624
-2.13273,-5.48966,1.68197,-10.0673,-4.87931,-4.87931,-1.52238,-5.64225,-9.60953
-3.35343,-7.01554,0.308676,-8.08365,-1.36979,-6.86295,-3.96378,-4.11637,-11.8983
-4.42155,-7.62589,-1.52238,-6.71036,-0.301676,-9.15177,-6.86295,-5.79484,-13.119
-5.79484,-6.86295,-2.59049,-9.60953,-4.26896,-13.2716,-12.0509,-12.9665,-13.4242
-5.48966,-5.48966,1.37679,-10.5251,-10.3725,-11.7458,-10.8302,-19.07,-13.2716
-4.11637,-5.18448,6.2596,-7.4733,-13.7294,-6.86295,-5.0319,-20.901,-12.8139
-3.50602,-5.79484,6.10701,-5.0319,-14.4923,-5.48966,-3.50602,-22.4269,-12.6613
-2.89567,-4.26896,4.27596,-5.48966,-16.7812,-5.33707,-6.10001,-26.3942,-11.7458
-2.13273,-0.759439,5.95442,-7.77848,-20.1381,-3.50602,-7.77848,-30.3615,-8.694
-2.89567,-0.454263,7.63289,-9.45694,-20.2907,-5.48966,-8.38883,-30.0563,-6.10001
-4.87931,-4.26896,5.0389,-8.694,-16.6286,-9.60953,-8.54142,-24.1054,-6.55777
-5.18448,-7.01554,0.0035,-8.08365,-13.7294,-10.0673,-7.32071,-17.8493,-9.30435
-4.11637,-8.54142,-5.64225,-10.5251,-14.4923,-10.3725,-9.30435,-16.6286,-10.6776
-4.11637,-9.91471,-9.91471,-13.4242,-15.713,-12.6613,-12.3561,-16.6286,-10.3725
-4.57413,-9.60953,-10.2199,-12.9665,-14.3398,-12.6613,-11.288,-14.6449,-11.1354
-4.57413,-8.694,-8.38883,-10.9828,-13.2716,-11.1354,-10.2199,-14.9501,-12.3561
-4.87931,-9.76212,-7.32071,-8.54142,-12.5087,-12.2035,-12.2035,-17.6967,-10.6776
-5.48966,-11.288,-6.40519,-4.11637,-9.76212,-13.882,-12.3561,-16.9337,-7.93106
-6.40519,-11.1354,-4.72672,-0.301676,-7.16813,-12.9665,-10.2199,-15.713,-7.4733
-7.62589,-11.8983,-7.77848,-4.26896,-10.8302,-13.4242,-12.5087,-21.2062,-11.1354
-9.15177,-14.7975,-16.7812,-17.5441,-21.5114,-18.1544,-19.2226,-30.9718,-15.713
-10.2199,-17.2389,-23.0373,-28.2252,-29.1408,-23.0373,-25.9364,-36.1598,-18.1544
-9.60953,-17.2389,-21.3588,-24.5631,-25.0209,-22.2743,-25.9364,-30.8192,-19.2226
-6.40519,-16.0182,-16.6286,-12.3561,-14.6449,-16.6286,-17.3915,-18.4596,-21.3588
-3.96378,-16.3234,-14.9501,-3.65861,-6.2526,-13.4242,-11.1354,-8.08365,-24.1054
-4.57413,-17.5441,-15.8656,-1.82755,-1.2172,-14.1872,-10.8302,-2.13273,-24.7157
-6.10001,-17.6967,-18.4596,-5.33707,-1.98014,-14.7975,-10.0673,-1.2172,-26.6994
-6.71036,-17.3915,-21.3588,-11.288,-8.23624,-14.7975,-8.38883,-3.65861,-30.0563
-5.94742,-15.4079,-20.901,-15.1027,-11.4406,-12.6613,-9.60953,-5.18448,-27.6149
-6.40519,-14.4923,-21.8166,-22.1217,-14.6449,-12.8139,-15.713,-11.5932,-22.7321
-8.54142,-17.5441,-29.4459,-36.6176,-25.7838,-20.4433,-26.089,-28.683,-23.495
-8.99918,-19.9855,-34.6339,-43.9418,-36.0072,-25.9364,-31.1244,-40.1271,-28.8356
-7.62589,-17.3915,-28.9882,-33.2606,-32.6503,-21.664,-23.495,-32.0399,-31.7348
-6.55777,-12.5087,-18.9174,-17.3915,-21.0536,-15.2553,-12.0509,-19.07,-30.3615
-6.2526,-9.91471,-13.5768,-7.16813,-10.8302,-13.882,-8.08365,-12.9665,-28.2252
