EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
27.0115,-0.149088,-8.23624,-10.2199,-14.4923,-1.82755,-7.93106,-14.6449,-5.79484
25.4857,-0.606851,-6.2526,-13.2716,-18.7648,-13.2716,-10.2199,-19.8329,-8.38883
18.4666,-3.81119,-9.15177,-24.258,-29.1408,-20.2907,-20.4433,-32.6503,-11.5932
15.2623,-4.87931,-14.0346,-27.0045,-28.5304,-12.8139,-22.4269,-32.6503,-10.0673
17.3985,-3.50602,-10.8302,-16.0182,-14.6449,-8.23624,-13.4242,-21.8166,-5.64225
18.4666,0.0035,0.0035,-2.59049,-1.2172,-14.9501,-4.11637,-12.3561,-5.33707
17.3985,3.20784,2.4449,2.90267,4.88631,-7.77848,2.13973,-4.42155,-6.55777
16.483,2.59749,-6.71036,-1.67497,4.12337,10.6846,2.59749,-2.4379,-5.48966
17.8563,1.52938,-8.694,-8.38883,-0.912027,6.10701,-2.59049,-7.93106,-3.65861
20.6028,3.97078,-2.28532,-9.15177,-5.18448,-7.4733,-3.35343,-7.93106,-4.11637
21.8236,5.0389,-1.98014,-8.84659,-7.62589,-1.36979,1.37679,-2.28532,-7.4733
21.671,0.766439,-10.2199,-15.2553,-13.4242,5.80184,-1.2172,-6.2526,-11.5932
22.1287,-1.98014,-15.713,-24.5631,-23.3424,-2.89567,-14.1872,-22.2743,-13.7294
21.9761,1.98714,-12.5087,-25.9364,-28.2252,-11.5932,-21.2062,-32.1925,-12.8139
20.2977,3.81819,-8.08365,-18.6122,-21.664,-6.10001,-12.9665,-23.8002,-13.2716
18.6192,0.0035,-7.4733,-11.8983,-12.3561,4.27596,-2.13273,-11.4406,-15.8656
18.9244,-0.606851,-5.33707,-7.93106,-7.01554,5.34407,-0.606851,-9.15177,-13.119
18.9244,3.81819,0.613851,-1.98014,0.461263,-0.301676,-2.89567,-7.62589,-3.81119
16.9407,5.0389,3.36043,4.88631,11.6002,1.52938,2.4449,2.13973,2.59749
16.1778,4.27596,5.80184,10.6846,17.5511,7.78548,12.5157,13.126,-0.454263
18.314,6.10701,8.09065,8.54842,10.3795,10.5321,13.4312,12.0579,-8.08365
20.2977,6.56477,4.42855,-0.454263,-0.759439,15.4149,5.64925,1.98714,-8.08365
19.077,6.71736,5.0389,-1.98014,-1.2172,16.483,4.27596,-0.149088,1.68197
17.3985,7.17513,9.00618,1.37679,0.613851,9.92171,7.4803,1.52938,5.80184
16.6356,2.90267,0.461263,-4.42155,-7.16813,7.78548,3.81819,-1.98014,-5.33707
15.2623,-0.912027,-8.38883,-10.6776,-12.8139,13.126,0.919027,-3.20084,-16.9337
13.889,1.98714,-2.74308,-6.2526,-7.4733,14.6519,6.10701,0.156088,-13.2716
11.9053,3.97078,3.51302,-0.149088,-1.67497,8.39583,7.93806,0.0035,-3.35343
10.2269,1.83455,1.52938,-0.301676,-2.59049,4.58113,3.51302,-2.89567,-2.13273
10.2269,1.98714,0.156088,-1.2172,-3.20084,4.58113,3.81819,-1.67497,-6.71036
11.1424,4.42855,2.59749,2.13973,2.13973,6.86995,9.46394,4.27596,-8.08365
13.126,6.56477,7.17513,8.85359,11.1424,12.0579,13.889,10.3795,-5.79484
13.7364,7.4803,11.4476,14.0416,18.9244,12.0579,14.9571,15.4149,-0.606851
11.1424,5.34407,9.46394,12.9735,22.2813,6.10701,13.2786,19.2296,4.12337
9.61653,3.20784,4.12337,7.02254,18.7718,3.97078,11.1424,17.7037,0.461263
11.4476,5.49666,4.42855,1.68197,10.9898,8.24324,11.6002,14.0416,-7.77848
12.2105,8.09065,7.32771,1.07161,6.71736,13.5838,13.7364,13.5838,-8.08365
10.5321,7.17513,5.64925,1.68197,3.97078,13.5838,9.31135,5.95442,-0.912027
9.92171,7.32771,6.2596,0.919027,-1.52238,9.92171,0.766439,-7.93106,3.81819
10.2269,10.0743,11.1424,2.29232,-2.74308,9.15877,1.68197,-8.694,0.919027
11.9053,12.2105,10.0743,2.4449,0.308676,9.46394,7.63289,-0.454263,-4.26896
15.1097,11.9053,3.20784,-2.4379,-1.36979,8.24324,5.34407,-0.759439,-5.79484
13.2786,9.61653,1.2242,-2.89567,-0.912027,7.63289,-0.301676,-4.11637,-3.04826
9.92171,7.63289,5.19148,4.88631,6.71736,10.3795,2.4449,-0.301676,0.0035
11.7528,7.32771,7.02254,8.39583,9.61653,11.6002,8.09065,4.27596,-1.52238
13.7364,7.17513,5.95442,4.88631,6.56477,10.2269,10.9898,8.54842,-6.86295
13.889,7.02254,8.24324,7.17513,8.85359,15.2623,17.0933,16.483,-8.23624
16.7882,8.701,12.9735,13.126,11.6002,21.3658,23.502,19.077,-2.28532
19.3821,10.6846,12.6683,10.2269,5.19148,16.7882,19.3821,12.3631,3.51302
18.0089,9.61653,6.2596,0.613851,-2.74308,13.2786,10.8372,7.4803,0.156088
18.314,7.93806,2.75008,-2.74308,-2.74308,18.7718,10.9898,10.0743,-7.16813
21.0606,10.9898,10.3795,2.75008,1.83455,18.9244,16.1778,11.9053,-4.87931
19.9925,13.4312,13.4312,5.34407,2.29232,16.9407,14.3468,6.56477,1.83455
15.8726,7.93806,3.97078,2.59749,-0.149088,16.483,7.02254,-1.82755,1.98714
13.4312,3.05526,-0.912027,1.83455,-0.912027,11.1424,3.97078,-4.57413,-1.52238
14.8045,5.19148,1.83455,1.2242,-1.67497,6.56477,5.19148,0.308676,-4.42155
16.9407,9.31135,5.95442,2.90267,1.2242,9.00618,8.09065,7.78548,-4.11637
17.3985,9.61653,10.8372,10.8372,10.8372,14.8045,14.9571,13.126,-1.2172
17.7037,6.2596,8.85359,14.1942,15.4149,19.077,19.3821,14.4993,-0.606851
16.9407,3.97078,3.20784,7.78548,7.93806,16.7882,14.6519,10.5321,-3.20084
14.4993,6.86995,8.85359,6.2596,3.81819,10.8372,13.126,11.4476,-3.35343
15.2623,10.5321,16.7882,13.889,9.76912,15.2623,21.9761,20.4503,-0.149088
18.9244,10.0743,11.4476,13.889,9.00618,28.3848,24.4175,21.0606,0.766439
19.2296,8.39583,3.81819,3.36043,-1.67497,29.3004,18.314,13.4312,-1.06461
