EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
-14.4923,12.6683,-12.6613,0.156088,-16.0182,-7.16813,-11.4406,-10.8302,-19.2226,-20.7484,-9.91471,5.80184,-11.7458,-4.26896,-4.87931,-21.5114,-9.60953
-10.9828,12.6683,-6.55777,4.42855,-8.99918,0.919027,-1.52238,-0.759439,-13.4242,-11.4406,-11.4406,10.6846,-8.694,5.80184,-2.13273,-8.694,-1.36979
-15.5605,9.15877,-6.10001,3.05526,-7.01554,-0.454263,-1.06461,0.0035,-15.1027,-6.55777,-16.476,15.5675,-16.7812,13.2786,-3.96378,-2.13273,-0.606851
-20.4433,7.17513,-9.91471,0.156088,-14.7975,-7.77848,-10.0673,-8.08365,-17.3915,-12.9665,-17.2389,15.4149,-18.1544,7.93806,-4.57413,-9.60953,-8.54142
-16.3234,7.32771,-13.882,0.461263,-18.9174,-12.5087,-15.2553,-15.1027,-18.9174,-24.258,-13.5768,8.85359,-8.84659,-5.33707,-7.01554,-21.9691,-13.119
-12.8139,11.295,-14.3398,3.05526,-14.0346,-10.2199,-11.1354,-13.7294,-21.5114,-27.6149,-16.7812,3.51302,-11.1354,-10.5251,-12.2035,-26.2416,-6.40519
-18.307,15.1097,-11.8983,3.51302,-11.288,-6.40519,-8.38883,-8.99918,-22.4269,-23.0373,-24.5631,3.66561,-21.8166,-7.01554,-14.6449,-23.3424,0.0035
-24.258,10.9898,-12.3561,-0.606851,-14.9501,-9.60953,-15.2553,-11.4406,-23.9528,-23.1898,-25.7838,2.29232,-24.8683,-7.16813,-16.3234,-24.1054,-5.79484
-24.1054,8.54842,-17.0863,-3.04826,-23.8002,-13.882,-22.8847,-17.5441,-27.1571,-28.2252,-25.7838,-0.606851,-29.9037,-9.45694,-17.2389,-28.5304,-14.6449
-20.7484,9.31135,-19.9855,-0.454263,-23.1898,-12.2035,-21.0536,-17.6967,-27.3097,-27.7675,-28.5304,5.34407,-34.3287,-6.55777,-15.713,-27.6149,-13.5768
-18.4596,3.81819,-16.0182,1.52938,-15.1027,-8.54142,-13.4242,-14.3398,-24.4105,-22.4269,-28.2252,12.3631,-22.7321,-3.96378,-12.8139,-22.7321,-5.0319
-21.664,2.75008,-10.8302,-0.149088,-12.3561,-9.60953,-9.60953,-13.7294,-21.2062,-20.1381,-25.4787,5.34407,-13.4242,-7.16813,-9.60953,-22.8847,-1.2172
-25.7838,11.7528,-13.5768,-3.20084,-14.7975,-14.0346,-12.6613,-15.8656,-21.0536,-22.8847,-23.9528,-5.33707,-20.5958,-13.7294,-10.0673,-27.6149,-6.55777
-23.3424,11.4476,-18.1544,-2.28532,-18.7648,-13.7294,-14.9501,-16.3234,-23.495,-23.495,-23.3424,-6.2526,-26.6994,-13.882,-13.119,-27.3097,-9.45694
-18.0019,3.20784,-14.0346,0.613851,-14.1872,-10.5251,-10.8302,-12.2035,-21.5114,-17.3915,-21.5114,-1.2172,-25.7838,-6.2526,-12.5087,-20.2907,-5.48966
-16.7812,2.4449,-9.76212,-1.06461,-9.30435,-8.84659,-6.55777,-8.694,-16.1708,-14.9501,-20.1381,2.59749,-23.0373,-4.42155,-9.30435,-18.0019,-4.87931
-18.307,0.461263,-10.5251,-4.87931,-12.2035,-9.60953,-7.4733,-10.6776,-16.1708,-20.2907,-19.5277,2.29232,-17.0863,-8.08365,-10.0673,-22.1217,-7.77848
-18.6122,-0.912027,-8.694,-4.26896,-10.9828,-10.8302,-7.32071,-12.2035,-16.9337,-21.664,-16.6286,0.308676,-14.7975,-7.93106,-10.9828,-25.4787,-6.2526
-18.0019,7.93806,-3.35343,-0.759439,-7.62589,-8.38883,-3.50602,-8.23624,-13.4242,-15.4079,-16.3234,-0.759439,-16.476,-7.4733,-8.54142,-24.258,-1.98014
-16.6286,12.0579,-2.74308,0.308676,-5.94742,-5.64225,-1.67497,-5.18448,-12.9665,-11.288,-19.8329,-0.912027,-16.3234,-7.16813,-7.77848,-20.2907,-1.2172
-14.1872,8.39583,-6.71036,-0.301676,-7.62589,-6.2526,-3.04826,-7.62589,-16.7812,-13.882,-18.0019,1.83455,-19.07,-3.65861,-9.91471,-18.9174,-2.28532
-12.8139,6.2596,-7.77848,0.308676,-10.9828,-8.38883,-4.26896,-10.2199,-18.9174,-16.7812,-11.288,2.13973,-23.495,-2.89567,-11.8983,-21.664,-2.89567
-12.6613,2.13973,-5.64225,0.156088,-11.1354,-10.3725,-6.10001,-10.6776,-19.07,-18.1544,-8.08365,-2.59049,-17.6967,-10.2199,-11.8983,-25.4787,-4.42155
-11.5932,0.919027,-2.89567,-1.06461,-11.8983,-10.2199,-6.71036,-11.288,-18.9174,-19.5277,-10.2199,-2.28532,-8.84659,-15.1027,-8.84659,-27.0045,-3.65861
-9.76212,9.92171,0.766439,0.156088,-7.62589,-9.30435,-3.50602,-11.1354,-15.713,-19.3751,-13.2716,1.98714,-10.8302,-9.45694,-4.42155,-25.6312,2.59749
-9.15177,15.1097,2.13973,1.37679,-4.72672,-10.0673,-1.06461,-12.2035,-12.5087,-19.2226,-12.6613,1.98714,-14.9501,-5.64225,-2.59049,-23.9528,6.2596
-8.54142,5.80184,-0.301676,0.308676,-10.0673,-11.288,-2.89567,-14.3398,-12.0509,-19.5277,-12.5087,0.461263,-12.0509,-8.84659,-2.4379,-23.3424,0.766439
-5.64225,0.919027,-0.606851,0.461263,-9.60953,-9.15177,-2.28532,-10.2199,-5.94742,-13.2716,-13.119,2.75008,-11.4406,-4.87931,1.07161,-19.2226,-3.35343
-3.50602,10.5321,3.36043,2.75008,-5.18448,-4.72672,2.90267,-2.74308,2.29232,-1.98014,-10.3725,6.71736,-18.6122,3.66561,3.05526,-12.2035,0.308676
-6.10001,12.8209,4.42855,2.90267,-1.82755,-3.81119,5.80184,-0.149088,3.20784,4.42855,-7.16813,9.15877,-18.307,1.83455,-0.149088,-8.694,3.20784
-8.23624,9.76912,2.75008,2.4449,0.461263,-1.82755,7.93806,2.29232,6.56477,7.4803,-6.71036,10.0743,-4.11637,-1.36979,3.97078,-6.40519,3.97078
-3.81119,13.7364,3.97078,5.34407,2.59749,3.81819,12.2105,8.24324,12.3631,10.8372,-7.77848,7.63289,0.461263,5.0389,10.5321,-2.89567,7.63289
0.308676,11.7528,5.80184,6.86995,5.0389,4.12337,12.3631,9.15877,8.24324,8.85359,-9.76212,5.19148,-11.1354,8.85359,6.2596,-3.65861,9.61653
