EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
26.2486,33.2676,29.7581,28.2322,19.3821,20.7554,23.3494,5.0389,31.1314
25.9434,32.9625,30.2159,30.2159,23.0443,20.6028,22.4339,5.64925,32.1995
26.096,33.115,26.8589,23.9598,21.9761,23.502,24.1124,5.0389,29.1478
26.5538,31.8943,22.8917,18.314,20.7554,24.7227,25.6382,4.42855,24.5701
28.5374,32.1995,24.5701,22.4339,24.5701,26.4012,29.7581,11.9053,25.4857
31.1314,35.709,29.9107,30.2159,33.4202,29.1478,35.709,25.7908,32.0469
30.6736,35.8616,29.6055,28.5374,39.2186,28.0796,37.3875,34.7935,33.5728
28.3848,32.5047,24.8753,21.0606,39.5237,26.4012,37.5401,37.5401,27.6219
27.6219,32.5047,25.0279,20.908,38.6082,27.4693,37.9979,37.0823,24.8753
28.5374,32.8099,25.7908,22.5865,32.1995,24.8753,32.8099,29.1478,27.0115
29.1478,30.0633,21.671,18.1614,23.0443,20.7554,25.3331,17.2459,25.7908
29.1478,29.7581,20.6028,17.2459,18.0089,21.3658,23.3494,9.92171,22.4339
28.8426,33.115,26.096,23.8072,17.5511,25.4857,25.1805,7.78548,23.6546
28.3848,36.0142,30.2159,27.7745,19.6873,28.0796,26.7064,8.54842,28.0796
28.9952,34.9461,28.69,25.7908,21.2132,26.096,26.096,10.5321,30.6736
30.3685,31.4366,26.2486,25.1805,25.6382,23.3494,24.5701,12.0579,29.4529
29.3004,30.3685,24.8753,25.7908,30.8262,22.8917,23.9598,12.5157,25.9434
26.8589,32.6573,23.9598,23.9598,32.8099,25.0279,25.7908,15.4149,25.7908
26.096,35.0987,24.8753,21.9761,33.5728,28.3848,29.6055,21.9761,28.9952
27.9271,34.6409,26.2486,22.5865,31.1314,30.8262,32.3521,26.8589,29.4529
29.3004,31.7418,25.7908,22.5865,26.5538,30.6736,32.3521,27.3167,26.4012
27.6219,31.1314,25.0279,19.9925,21.8236,29.4529,31.5892,26.5538,24.265
27.0115,35.0987,27.3167,19.9925,20.7554,30.8262,33.878,26.8589,26.4012
28.5374,36.6246,29.1478,24.4175,23.3494,31.1314,34.4883,23.9598,29.9107
27.4693,32.5047,26.2486,24.8753,20.1451,25.1805,27.3167,14.0416,29.1478
25.3331,29.9107,23.0443,20.2977,15.5675,19.5347,19.5347,4.27596,26.5538
25.0279,30.6736,23.9598,19.6873,19.077,20.7554,20.2977,3.20784,26.2486
24.7227,29.7581,25.6382,24.5701,24.8753,22.7391,23.502,5.19148,27.1641
24.1124,27.7745,25.6382,27.1641,25.0279,21.0606,21.2132,3.05526,27.0115
24.265,28.8426,25.4857,25.4857,23.3494,21.8236,19.9925,4.27596,25.7908
24.5701,30.6736,24.1124,21.8236,27.7745,25.9434,24.5701,14.4993,23.502
23.6546,27.9271,19.9925,17.7037,31.5892,24.7227,26.2486,22.2813,20.7554
22.4339,24.265,16.6356,14.4993,27.7745,20.2977,24.265,21.671,19.3821
22.5865,25.1805,18.0089,15.4149,24.4175,20.4503,25.6382,19.077,20.2977
23.6546,29.7581,24.4175,23.3494,27.7745,24.7227,30.8262,20.6028,24.7227
24.4175,33.5728,31.1314,31.5892,35.2513,28.3848,35.709,25.0279,31.1314
24.7227,31.5892,27.3167,25.1805,29.3004,27.4693,31.284,19.077,29.4529
24.4175,27.3167,18.4666,12.2105,14.9571,24.265,19.8399,5.34407,22.1287
25.0279,28.69,19.3821,14.8045,16.3304,25.1805,16.9407,3.36043,22.7391
25.7908,29.7581,23.0443,22.1287,18.314,26.5538,17.3985,3.66561,26.2486
24.7227,27.6219,21.3658,20.1451,9.61653,22.8917,13.5838,-3.20084,25.0279
24.4175,29.1478,21.9761,18.1614,8.701,21.8236,14.8045,0.156088,23.6546
26.096,33.2676,25.9434,20.7554,19.9925,28.5374,23.8072,16.0252,24.265
25.7908,34.1832,26.7064,21.2132,30.9788,33.7254,29.9107,26.8589,23.6546
24.5701,31.4366,22.2813,16.1778,32.8099,31.7418,29.4529,27.0115,20.4503
26.2486,30.3685,19.5347,13.4312,31.284,29.6055,27.3167,23.1968,18.9244
27.6219,30.5211,20.908,17.5511,31.1314,28.8426,25.0279,17.5511,20.1451
26.096,29.3004,22.2813,22.1287,32.0469,27.0115,22.2813,12.8209,21.2132
25.4857,29.9107,23.3494,22.1287,31.284,26.5538,21.9761,12.2105,22.5865
27.4693,32.3521,25.1805,20.6028,26.4012,27.9271,23.3494,14.1942,24.265
28.69,33.5728,26.096,20.7554,24.7227,29.4529,24.7227,16.6356,25.3331
26.8589,34.0306,26.2486,21.8236,27.0115,30.9788,26.7064,19.2296,25.4857
25.0279,34.1832,27.3167,23.1968,24.7227,31.8943,28.3848,18.7718,26.7064
