EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
-10.9828,-10.0673,-25.7838,-0.912027,14.0416,1.83455,-4.42155,-13.5768,-18.1544
-11.8983,-11.4406,-27.3097,-1.67497,12.6683,0.766439,-4.42155,-10.5251,-18.6122
-10.9828,-14.0346,-30.3615,-5.33707,9.15877,-0.454263,-9.76212,-13.7294,-19.9855
-10.0673,-15.5605,-32.1925,-8.08365,7.32771,0.156088,-14.7975,-18.4596,-19.9855
-10.5251,-15.4079,-31.5822,-8.38883,7.02254,1.68197,-14.9501,-16.476,-20.1381
-10.8302,-16.0182,-32.0399,-10.0673,3.81819,1.37679,-14.0346,-16.9337,-22.5795
-10.5251,-16.476,-34.1762,-13.119,-1.98014,-0.149088,-12.0509,-25.0209,-24.258
-11.288,-15.713,-35.702,-14.7975,-5.48966,-1.52238,-10.5251,-30.6666,-22.7321
-14.6449,-15.8656,-36.9227,-15.2553,-5.48966,-4.11637,-15.713,-27.7675,-21.2062
-16.9337,-17.6967,-37.8383,-14.7975,-3.04826,-3.20084,-20.5958,-22.7321,-21.9691
-15.8656,-18.4596,-36.0072,-12.0509,1.52938,-0.149088,-18.307,-20.901,-22.4269
-14.9501,-17.6967,-33.7184,-9.60953,4.88631,-1.52238,-15.8656,-22.1217,-22.4269
-16.0182,-18.307,-35.2443,-10.8302,3.36043,-4.11637,-15.8656,-23.9528,-24.1054
-16.6286,-19.8329,-37.9909,-13.4242,0.0035,-3.65861,-13.2716,-26.089,-24.7157
-16.3234,-18.9174,-37.0753,-13.119,-0.606851,-3.35343,-11.5932,-27.1571,-21.9691
-16.476,-18.0019,-34.9391,-13.4242,-1.52238,-5.94742,-20.2907,-27.6149,-19.9855
-15.8656,-18.307,-34.6339,-15.4079,-3.96378,-7.01554,-27.9201,-27.0045,-21.9691
-15.8656,-19.2226,-36.9227,-18.6122,-7.4733,-6.40519,-23.0373,-27.1571,-26.3942
-18.6122,-22.4269,-41.653,-23.1898,-11.5932,-8.54142,-17.3915,-30.9718,-30.6666
-19.2226,-24.258,-42.8737,-23.0373,-10.9828,-7.93106,-15.713,-31.277,-30.8192
-14.7975,-19.9855,-36.0072,-15.2553,-3.50602,-1.06461,-11.8983,-24.4105,-25.4787
-13.7294,-15.4079,-29.2934,-8.23624,3.20784,2.59749,-9.60953,-17.6967,-19.8329
