EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
-4.11637,-21.8166,-13.5768,-9.15177,50.2049,-103.1458,-6.2526,1.98714,-18.1544
-5.48966,-24.258,-12.9665,-10.0673,49.7471,-104.6717,-5.79484,1.68197,-18.6122
-4.11637,-21.5114,-11.8983,-10.8302,48.9842,-102.5355,-7.01554,1.52938,-19.9855
-2.13273,-21.8166,-12.2035,-11.7458,47.1531,-100.2467,-6.86295,-0.454263,-19.9855
-0.912027,-23.3424,-13.7294,-12.5087,45.4747,-101.62,-8.84659,-2.89567,-20.1381
-0.606851,-23.495,-16.476,-15.8656,40.5918,-104.0614,-12.9665,-6.2526,-22.5795
-1.2172,-26.5468,-18.4596,-20.7484,34.1832,-106.9605,-14.4923,-12.9665,-24.258
-1.98014,-24.5631,-17.3915,-20.5958,32.1995,-108.0286,-10.3725,-16.0182,-22.7321
-2.59049,-24.5631,-17.0863,-20.4433,32.9625,-106.8079,-9.91471,-14.0346,-21.2062
-2.4379,-24.8683,-18.9174,-20.901,34.4883,-107.1131,-14.9501,-13.4242,-21.9691
-2.4379,-23.8002,-18.6122,-20.1381,36.3194,-107.8761,-15.2553,-12.5087,-22.4269
-2.89567,-25.3261,-16.1708,-17.3915,39.9815,-106.9605,-11.7458,-8.08365,-22.4269
-2.74308,-22.8847,-15.8656,-14.4923,42.1177,-106.9605,-13.4242,-5.0319,-24.1054
-4.42155,-24.1054,-17.6967,-16.6286,38.303,-109.8597,-18.1544,-8.38883,-24.7157
-5.79484,-24.1054,-16.7812,-17.3915,35.709,-112.7589,-15.8656,-14.4923,-21.9691
-4.42155,-21.3588,-15.1027,-16.476,34.7935,-113.6744,-12.6613,-19.9855,-19.9855
-3.20084,-22.7321,-17.8493,-18.1544,32.5047,-112.9115,-20.7484,-22.5795,-21.9691
-3.65861,-22.1217,-24.1054,-21.5114,28.3848,-112.9115,-28.2252,-22.4269,-26.3942
-4.57413,-24.1054,-28.3778,-26.8519,22.7391,-114.4373,-25.6312,-22.8847,-30.6666
-4.26896,-22.2743,-26.8519,-27.0045,23.0443,-114.1322,-21.9691,-21.5114,-30.8192
-4.11637,-17.8493,-21.0536,-20.5958,30.3685,-111.6907,-18.7648,-15.713,-25.4787
-3.81119,-16.0182,-15.2553,-14.0346,38.4556,-109.8597,-12.6613,-9.15177,-19.8329
-2.89567,-13.5768,-16.476,-14.1872,39.066,-109.8597,-12.3561,-8.694,-22.7321
-2.89567,-19.3751,-24.5631,-21.9691,33.2676,-111.3856,-22.1217,-12.5087,-32.6503
-2.13273,-21.664,-28.0726,-23.495,32.9625,-111.5382,-23.0373,-12.0509,-35.8546
-1.06461,-18.307,-24.8683,-20.5958,33.7254,-111.233,-15.1027,-12.2035,-31.4296
-2.13273,-19.07,-23.495,-21.2062,31.4366,-113.064,-17.2389,-15.8656,-28.0726
-3.20084,-17.0863,-24.4105,-21.2062,30.3685,-112.9115,-23.8002,-16.6286,-27.0045
-1.98014,-16.9337,-23.0373,-20.2907,31.284,-109.0968,-20.5958,-13.119,-26.5468
-0.301676,-15.713,-20.5958,-18.0019,33.115,-107.1131,-12.9665,-10.3725,-26.2416
-1.06461,-15.1027,-20.2907,-18.9174,31.4366,-109.4019,-12.6613,-12.2035,-26.089
-1.2172,-16.476,-21.0536,-21.3588,28.5374,-111.5382,-18.0019,-14.9501,-25.7838
-0.454263,-13.7294,-21.664,-21.5114,28.8426,-111.6907,-21.664,-15.4079,-25.9364
-1.52238,-15.5605,-21.2062,-20.4433,31.4366,-110.7752,-19.07,-11.1354,-27.0045
-1.06461,-15.2553,-18.4596,-15.4079,36.7772,-107.8761,-11.8983,-3.96378,-27.1571
2.4449,-12.5087,-14.7975,-9.91471,41.0496,-105.1295,-7.01554,-0.454263,-24.4105
3.97078,-13.882,-13.4242,-9.30435,41.9651,-104.5191,-6.10001,-1.67497,-22.7321
2.59749,-14.0346,-16.0182,-12.0509,39.3711,-104.6717,-10.9828,-3.81119,-24.4105
0.766439,-16.7812,-17.6967,-13.2716,37.3875,-105.4346,-16.476,-3.96378,-24.258
