EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
-10.9828,-4.11637,-10.0673,-21.8166,-25.7838,-13.5768,-0.912027,-9.15177,14.0416,50.2049,1.83455,-103.1458,-4.42155,-6.2526,-13.5768,1.98714,-18.1544
-11.8983,-5.48966,-11.4406,-24.258,-27.3097,-12.9665,-1.67497,-10.0673,12.6683,49.7471,0.766439,-104.6717,-4.42155,-5.79484,-10.5251,1.68197,-18.6122
-10.9828,-4.11637,-14.0346,-21.5114,-30.3615,-11.8983,-5.33707,-10.8302,9.15877,48.9842,-0.454263,-102.5355,-9.76212,-7.01554,-13.7294,1.52938,-19.9855
-10.0673,-2.13273,-15.5605,-21.8166,-32.1925,-12.2035,-8.08365,-11.7458,7.32771,47.1531,0.156088,-100.2467,-14.7975,-6.86295,-18.4596,-0.454263,-19.9855
-10.5251,-0.912027,-15.4079,-23.3424,-31.5822,-13.7294,-8.38883,-12.5087,7.02254,45.4747,1.68197,-101.62,-14.9501,-8.84659,-16.476,-2.89567,-20.1381
-10.8302,-0.606851,-16.0182,-23.495,-32.0399,-16.476,-10.0673,-15.8656,3.81819,40.5918,1.37679,-104.0614,-14.0346,-12.9665,-16.9337,-6.2526,-22.5795
-10.5251,-1.2172,-16.476,-26.5468,-34.1762,-18.4596,-13.119,-20.7484,-1.98014,34.1832,-0.149088,-106.9605,-12.0509,-14.4923,-25.0209,-12.9665,-24.258
-11.288,-1.98014,-15.713,-24.5631,-35.702,-17.3915,-14.7975,-20.5958,-5.48966,32.1995,-1.52238,-108.0286,-10.5251,-10.3725,-30.6666,-16.0182,-22.7321
-14.6449,-2.59049,-15.8656,-24.5631,-36.9227,-17.0863,-15.2553,-20.4433,-5.48966,32.9625,-4.11637,-106.8079,-15.713,-9.91471,-27.7675,-14.0346,-21.2062
-16.9337,-2.4379,-17.6967,-24.8683,-37.8383,-18.9174,-14.7975,-20.901,-3.04826,34.4883,-3.20084,-107.1131,-20.5958,-14.9501,-22.7321,-13.4242,-21.9691
-15.8656,-2.4379,-18.4596,-23.8002,-36.0072,-18.6122,-12.0509,-20.1381,1.52938,36.3194,-0.149088,-107.8761,-18.307,-15.2553,-20.901,-12.5087,-22.4269
-14.9501,-2.89567,-17.6967,-25.3261,-33.7184,-16.1708,-9.60953,-17.3915,4.88631,39.9815,-1.52238,-106.9605,-15.8656,-11.7458,-22.1217,-8.08365,-22.4269
-16.0182,-2.74308,-18.307,-22.8847,-35.2443,-15.8656,-10.8302,-14.4923,3.36043,42.1177,-4.11637,-106.9605,-15.8656,-13.4242,-23.9528,-5.0319,-24.1054
-16.6286,-4.42155,-19.8329,-24.1054,-37.9909,-17.6967,-13.4242,-16.6286,0.0035,38.303,-3.65861,-109.8597,-13.2716,-18.1544,-26.089,-8.38883,-24.7157
-16.3234,-5.79484,-18.9174,-24.1054,-37.0753,-16.7812,-13.119,-17.3915,-0.606851,35.709,-3.35343,-112.7589,-11.5932,-15.8656,-27.1571,-14.4923,-21.9691
-16.476,-4.42155,-18.0019,-21.3588,-34.9391,-15.1027,-13.4242,-16.476,-1.52238,34.7935,-5.94742,-113.6744,-20.2907,-12.6613,-27.6149,-19.9855,-19.9855
-15.8656,-3.20084,-18.307,-22.7321,-34.6339,-17.8493,-15.4079,-18.1544,-3.96378,32.5047,-7.01554,-112.9115,-27.9201,-20.7484,-27.0045,-22.5795,-21.9691
