EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
38.4556,38.6082,32.5047,41.2022,53.867,45.0169,43.1858,39.066,12.5157
38.9134,33.2676,25.4857,32.6573,54.6299,42.4229,35.4039,36.0142,7.93806
37.9979,28.8426,20.7554,30.8262,57.0713,35.8616,35.2513,38.303,6.10701
36.7772,29.3004,22.8917,32.9625,55.698,33.7254,39.3711,38.9134,7.63289
37.2349,34.6409,28.9952,34.6409,54.3247,39.5237,34.6409,32.6573,11.7528
38.6082,37.9979,28.69,27.9271,52.1885,39.066,25.7908,25.0279,19.3821
37.8453,32.8099,19.6873,17.2459,45.7798,31.7418,26.4012,24.1124,15.5675
34.9461,28.5374,16.1778,16.1778,47.4583,28.8426,30.5211,30.9788,11.1424
35.709,30.9788,23.9598,28.0796,61.8015,31.1314,34.1832,41.5074,14.4993
38.6082,34.0306,30.5211,39.6763,69.5835,36.0142,42.8807,48.5264,16.483
37.0823,32.6573,31.8943,43.6436,68.5154,41.0496,49.5945,49.2894,19.2296
33.2676,29.1478,32.3521,45.0169,68.3628,43.1858,47.0005,47.6109,19.3821
32.3521,33.115,32.1995,41.9651,66.3792,41.3548,39.6763,43.9488,23.1968
34.3357,37.5401,28.0796,32.9625,59.5127,37.9979,30.6736,37.3875,27.4693
36.3194,35.0987,23.1968,24.8753,53.7144,33.7254,21.5184,30.9788,25.7908
35.8616,34.0306,24.265,21.5184,56.9187,29.1478,17.7037,28.69,28.5374
34.7935,35.709,26.7064,20.6028,60.886,28.69,22.8917,30.9788,30.6736
35.0987,36.3194,27.1641,21.2132,57.2239,32.1995,27.7745,32.0469,32.1995
33.878,34.0306,28.2322,28.0796,54.1722,33.5728,28.2322,35.5565,29.9107
32.3521,32.6573,31.7418,41.5074,59.8179,33.7254,33.2676,44.4065,24.265
33.115,33.878,36.472,53.104,67.4473,33.115,38.4556,50.2049,24.4175
35.5565,33.115,37.6927,59.055,68.8206,33.115,37.3875,49.1368,23.1968
38.7608,35.709,37.8453,61.4964,71.1094,37.5401,37.3875,49.4419,26.096
39.5237,39.9815,39.2186,59.055,73.856,43.0333,39.066,52.3411,28.9952
36.0142,37.9979,37.6927,49.5945,67.5999,41.9651,36.3194,48.5264,24.5701
33.7254,34.6409,31.284,36.1668,61.0386,37.2349,31.284,41.8125,25.0279
34.3357,33.2676,23.1968,25.0279,58.5972,34.7935,28.9952,38.4556,24.7227
33.7254,34.0306,19.6873,16.483,52.7989,31.7418,28.3848,32.9625,25.3331
35.2513,36.1668,20.908,11.295,44.8643,30.0633,24.7227,25.1805,29.6055
40.4393,40.2867,25.1805,19.6873,44.254,34.0306,22.5865,25.4857,34.7935
43.6436,48.679,36.6246,41.8125,54.1722,41.5074,30.0633,36.6246,43.6436
42.1177,51.7308,45.9324,57.8343,61.8015,46.2376,37.9979,44.254,42.5755
35.5565,41.9651,39.3711,52.6463,54.7825,37.3875,32.0469,33.878,31.5892
29.1478,31.7418,28.8426,44.8643,48.2212,23.3494,26.7064,27.1641,25.1805
26.096,27.4693,23.1968,36.7772,45.7798,17.8563,24.7227,29.3004,21.8236
23.1968,22.5865,15.1097,15.72,36.7772,15.2623,12.5157,19.6873,17.2459
22.5865,20.1451,8.701,-1.2172,27.4693,11.7528,5.34407,8.54842,13.889
22.8917,25.6382,8.701,-4.57413,23.9598,11.295,7.78548,8.24324,20.1451
19.8399,25.9434,7.4803,-3.65861,24.5701,9.76912,2.4449,9.61653,20.1451
16.1778,18.4666,6.86995,5.95442,32.1995,5.95442,-1.98014,10.8372,10.5321
14.6519,16.483,14.1942,28.0796,49.8997,4.42855,7.32771,19.9925,12.0579
14.9571,19.6873,22.5865,48.5264,65.7688,7.32771,18.9244,34.1832,15.8726
17.0933,26.096,27.9271,54.9351,67.7525,12.0579,24.4175,40.5918,19.6873
19.6873,29.1478,30.3685,52.4937,59.5127,14.3468,25.1805,37.8453,20.4503
17.7037,25.4857,28.9952,47.3057,51.5782,16.483,21.2132,33.7254,14.4993
15.72,21.9761,23.8072,36.0142,46.2376,18.314,12.5157,28.3848,14.4993
18.0089,19.077,12.8209,18.4666,39.8289,12.6683,7.17513,20.7554,15.5675
18.6192,21.3658,6.10701,4.58113,35.4039,4.73372,7.93806,13.889,19.2296
18.7718,25.9434,8.24324,-1.82755,30.2159,5.64925,4.88631,8.39583,20.7554
21.671,24.265,7.93806,-6.40519,23.502,9.46394,0.308676,6.86995,15.1097
22.4339,19.8399,5.64925,-3.81119,27.1641,7.4803,3.36043,12.3631,13.4312
20.2977,18.4666,9.46394,15.4149,39.9815,8.39583,10.6846,22.7391,10.0743
19.6873,22.7391,20.6028,39.3711,50.0523,15.4149,16.6356,31.7418,10.3795
19.3821,25.7908,28.9952,52.7989,57.0713,16.6356,22.5865,39.9815,13.4312
16.9407,22.4339,27.7745,55.0877,62.4119,9.46394,25.7908,43.9488,10.9898
15.4149,18.314,21.9761,46.8479,57.8343,1.68197,19.8399,35.8616,10.3795
17.5511,16.0252,15.4149,27.4693,40.1341,-0.759439,9.76912,19.3821,8.85359
19.9925,19.9925,10.9898,2.90267,22.7391,3.51302,1.2242,3.51302,13.126
19.2296,22.5865,5.34407,-17.0863,15.4149,4.58113,-8.08365,-7.01554,18.1614
16.9407,18.314,-3.20084,-29.2934,13.5838,-0.912027,-15.8656,-11.5932,14.4993
16.483,15.72,-4.26896,-30.8192,16.1778,-1.52238,-15.1027,-6.2526,10.3795
17.7037,14.3468,2.59749,-14.0346,26.5538,1.68197,-4.26896,9.61653,4.58113
17.0933,10.9898,7.63289,10.6846,39.6763,-0.454263,7.02254,23.9598,2.13973
14.6519,9.46394,9.76912,29.9107,47.7635,-1.36979,12.6683,30.5211,-0.912027
11.4476,14.6519,16.1778,44.7117,52.4937,2.59749,16.9407,34.3357,-4.42155
