EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
41.0496,-51.1134,-71.5602,-47.9091,-29.1408,-48.9772,-56.1488,41.5074,-43.484
41.2022,-50.8082,-70.3395,-46.5358,-30.0563,-49.1298,-56.7592,42.2703,-42.8737
38.9134,-49.2824,-67.8981,-43.484,-30.9718,-51.8763,-59.3531,38.4556,-39.5167
38.4556,-46.9935,-65.7618,-40.89,-31.5822,-53.7074,-61.642,33.2676,-35.8546
39.6763,-44.8573,-64.0834,-38.6012,-30.8192,-52.6393,-60.879,31.1314,-32.8029
40.5918,-42.1107,-61.4894,-36.1598,-27.7675,-50.0453,-56.454,32.1995,-31.1244
41.66,-40.2797,-59.2006,-33.871,-22.7321,-49.2824,-52.1815,35.5565,-31.1244
43.6436,-40.1271,-59.6583,-32.0399,-17.0863,-50.8082,-51.1134,38.7608,-30.3615
42.7281,-41.3478,-63.473,-34.0236,-17.5441,-52.9445,-54.0126,36.7772,-30.5141
39.6763,-43.484,-68.3558,-39.9745,-25.7838,-53.86,-58.8954,31.1314,-33.5658
39.6763,-44.7047,-71.4076,-44.5521,-33.2606,-53.7074,-62.7101,26.8589,-36.9227
41.0496,-43.3314,-71.5602,-44.0944,-37.6857,-52.1815,-63.473,23.0443,-38.1434
41.0496,-42.2633,-68.2032,-41.5004,-41.8055,-49.8927,-62.7101,19.077,-37.8383
41.3548,-42.7211,-63.7782,-39.8219,-41.9581,-48.672,-61.1842,20.6028,-37.6857
41.2022,-41.0426,-60.4213,-35.8546,-32.4977,-47.7565,-56.454,31.4366,-35.0917
40.2867,-37.8383,-58.4376,-30.2089,-21.8166,-47.2987,-52.1815,40.897,-30.3615
38.9134,-38.4486,-59.048,-29.4459,-19.5277,-48.9772,-54.1652,41.2022,-28.9882
38.1504,-41.0426,-61.1842,-32.9555,-19.6803,-51.266,-56.7592,39.2186,-30.0563
40.5918,-41.3478,-63.3204,-35.0917,-18.307,-50.8082,-55.8436,38.7608,-29.9037
43.1858,-40.4323,-65.7618,-35.702,-20.901,-48.0616,-54.9281,36.7772,-30.2089
41.0496,-40.5848,-66.8299,-37.2279,-27.9201,-47.4513,-56.7592,33.5728,-33.4132
38.1504,-42.1107,-68.3558,-40.1271,-36.3124,-50.5031,-60.7264,27.4693,-37.8383
38.7608,-41.8055,-70.6446,-42.4159,-44.3995,-53.7074,-65.6092,18.0089,-39.6693
40.7444,-39.8219,-70.4921,-41.1952,-47.2987,-55.691,-68.2032,13.126,-37.3805
42.2703,-38.4486,-66.2196,-34.9391,-40.89,-57.0643,-66.3722,19.2296,-32.3451
41.8125,-37.8383,-62.4049,-28.683,-29.1408,-56.3014,-60.5738,31.4366,-28.8356
39.9815,-37.3805,-63.3204,-27.6149,-21.8166,-54.3177,-56.3014,39.9815,-29.1408
39.9815,-36.3124,-63.6256,-26.2416,-17.8493,-53.097,-55.691,42.5755,-28.3778
40.2867,-34.3287,-60.4213,-22.8847,-14.1872,-52.0289,-55.5384,42.5755,-26.089
40.2867,-34.1762,-61.7945,-25.4787,-17.3915,-50.3505,-55.2333,40.4393,-28.2252
42.5755,-36.465,-67.8981,-32.6503,-27.4623,-48.5194,-55.691,35.5565,-32.8029
43.1858,-37.8383,-69.8817,-35.0917,-34.6339,-46.6884,-56.6066,30.5211,-33.4132
39.5237,-37.9909,-68.5084,-34.4813,-38.296,-47.6039,-58.5902,26.5538,-31.4296
