EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
140.0791,224.6127,88.5044,46.3902,25.3331,-4.26896,-23.8002,-0.606851,-502.9258,-48.5194,9.61653,61.4964,-5.0319,29.7581,-250.8508,-13.4242,18.0089
137.1799,220.6454,85.4527,41.9651,25.6382,-9.15177,-30.5141,-15.5605,-504.1465,-53.097,7.63289,53.867,-6.40519,23.0443,-254.2077,-18.7648,12.9735
137.9428,219.2721,89.2673,43.1858,21.9761,-3.50602,-31.7348,-3.65861,-509.1819,-59.3531,6.2596,49.7471,-8.694,16.1778,-255.4284,-27.9201,15.4149
137.4851,216.6781,86.2156,39.3711,21.3658,-6.10001,-36.465,-14.6449,-516.6587,-61.642,5.0389,48.9842,-13.882,13.7364,-259.3957,-32.9555,11.9053
137.7903,218.6618,85.7578,43.3384,20.1451,0.308676,-35.8546,-0.149088,-514.5225,-55.3859,3.81819,57.8343,-16.476,20.7554,-264.4311,-31.5822,15.1097
136.417,220.4928,83.469,45.0169,20.908,3.97078,-36.1598,6.86995,-523.6777,-52.3341,-1.98014,57.6817,-20.7484,24.4175,-271.145,-29.4459,17.5511
131.6867,215.1523,77.2129,40.5918,20.4503,-0.149088,-39.059,-2.13273,-522.6096,-52.0289,-7.16813,49.7471,-24.4105,23.6546,-275.2648,-28.683,15.72
138.7058,214.8471,83.7742,42.1177,20.2977,6.86995,-32.4977,14.0416,-520.4734,-49.7401,3.20784,54.1722,-17.5441,25.9434,-271.4501,-26.5468,20.6028
150.6076,215.7626,86.9785,35.8616,21.2132,-7.4733,-40.89,-11.5932,-530.0864,-62.2523,13.126,53.867,-17.6967,17.0933,-277.4011,-32.4977,10.5321
157.6267,217.5937,90.0303,36.1668,16.1778,-16.1708,-49.1298,-18.4596,-532.833,-73.086,12.3631,49.8997,-22.7321,9.61653,-285.0305,-40.1271,3.66561
163.2724,215.4574,92.1665,35.4039,15.4149,-15.8656,-49.5875,-17.8493,-537.258,-73.5438,11.9053,39.9815,-22.8847,6.2596,-283.5046,-40.1271,2.59749
167.0871,209.8117,90.488,30.0633,17.7037,-19.2226,-50.3505,-25.6312,-531.1545,-71.8653,14.1942,35.2513,-21.0536,3.66561,-280.3002,-37.2279,2.29232
167.5449,209.9643,93.2346,33.7254,18.7718,-10.3725,-42.2633,-4.87931,-527.1872,-64.6937,16.6356,43.7962,-17.8493,11.9053,-275.4174,-31.8873,10.8372
164.6457,208.2858,89.1148,31.4366,21.671,-12.2035,-39.5167,-12.0509,-525.3562,-55.8436,15.1097,44.8643,-18.1544,18.0089,-272.2131,-26.089,9.31135
165.7138,211.4902,89.8777,35.8616,20.2977,-5.48966,-34.4813,1.52938,-513.6069,-44.5521,14.6519,52.7989,-14.6449,21.8236,-267.788,-19.8329,13.126
164.9509,214.3893,90.0303,39.5237,19.9925,0.0035,-34.6339,3.66561,-519.4053,-45.9254,13.2786,54.1722,-15.1027,18.9244,-269.1613,-20.901,15.72
162.2043,210.1169,86.8259,35.0987,19.5347,-7.32071,-43.484,-15.5605,-525.5088,-57.3695,10.8372,41.66,-19.8329,10.3795,-275.57,-31.277,10.2269
166.7819,210.5746,91.7088,35.0987,19.077,-6.55777,-43.7892,-7.32071,-533.4433,-61.4894,13.126,41.5074,-19.5277,9.31135,-277.7062,-37.9909,10.9898
168.7656,210.7272,89.2673,31.284,19.6873,-15.5605,-50.0453,-25.7838,-543.3616,-66.6774,11.9053,44.4065,-24.1054,5.64925,-284.2675,-39.5167,5.0389
169.3759,214.2367,89.1148,35.2513,16.483,-10.6776,-49.1298,-16.7812,-538.9365,-65.7618,10.3795,48.9842,-25.1735,7.78548,-287.0141,-35.2443,7.78548
170.2915,215.9152,89.2673,36.0142,17.2459,-5.0319,-44.0944,-8.38883,-541.6831,-61.1842,9.46394,47.7635,-25.1735,11.9053,-289.4555,-30.8192,11.6002
169.0708,210.1169,85.6052,30.3685,18.6192,-10.2199,-45.7728,-17.0863,-539.2417,-57.9799,6.10701,43.0333,-30.6666,11.1424,-296.0168,-31.5822,9.15877
170.1389,209.5065,89.1148,32.6573,17.3985,-3.20084,-41.9581,-0.149088,-536.9529,-51.1134,8.701,45.9324,-29.9037,15.2623,-293.728,-31.277,12.5157
168.613,210.1169,86.063,29.6055,17.5511,-8.08365,-45.0099,-13.2716,-537.8684,-47.4513,11.4476,44.254,-28.683,16.6356,-290.6762,-30.6666,6.86995
168.7656,212.7109,86.9785,31.4366,14.6519,-7.62589,-45.6202,-6.71036,-534.2063,-43.1788,12.0579,46.085,-26.5468,18.9244,-288.6926,-27.9201,7.02254
170.1389,212.4057,88.657,30.3685,14.3468,-9.30435,-48.0616,-9.15177,-545.6504,-47.7565,11.4476,44.1014,-27.0045,14.3468,-289.3029,-27.7675,5.49666
168.9182,209.3539,86.063,27.3167,13.7364,-15.4079,-55.5384,-23.8002,-550.6858,-57.8273,8.85359,40.4393,-31.1244,6.86995,-294.3383,-33.108,1.07161
170.1389,212.5583,88.0466,33.5728,11.295,-4.57413,-53.5548,-6.86295,-554.653,-58.285,8.54842,48.8316,-31.8873,12.5157,-296.4745,-33.871,8.39583
171.5122,213.4738,83.1638,30.5211,10.8372,-8.694,-57.8273,-22.8847,-560.9091,-61.642,8.24324,47.0005,-33.7184,12.9735,-298.0004,-32.9555,4.42855
175.9372,218.3566,84.8423,33.4202,8.701,-9.30435,-56.9117,-17.6967,-554.0427,-63.0152,10.9898,45.0169,-29.5985,12.2105,-292.965,-32.8029,2.4449
178.6838,220.3402,88.5044,35.4039,9.76912,-10.2199,-55.9962,-16.0182,-558.3152,-66.3722,11.295,44.7117,-28.9882,8.701,-292.8124,-36.1598,2.13973
175.7846,213.4738,86.3682,30.0633,11.6002,-16.3234,-58.7428,-28.2252,-557.247,-73.5438,8.09065,42.7281,-34.6339,-0.149088,-299.9841,-44.247,0.919027
176.0898,211.4902,90.1829,30.2159,15.1097,-7.01554,-48.2142,-8.99918,-551.7539,-72.3231,11.6002,44.7117,-32.1925,0.613851,-297.8478,-48.2142,9.61653
174.4113,208.8962,87.4363,24.7227,21.3658,-10.3725,-44.3995,-19.9855,-549.3125,-73.086,12.2105,35.709,-32.0399,0.156088,-297.5427,-51.4186,7.78548
173.801,209.5065,89.1148,25.7908,20.4503,-9.45694,-41.3478,-14.3398,-542.2934,-69.7291,11.6002,35.0987,-31.277,-0.912027,-296.6271,-50.9608,8.54842
177.3105,212.2531,91.8613,26.8589,19.3821,-8.84659,-39.6693,-12.8139,-546.1081,-63.6256,15.4149,37.2349,-28.8356,1.07161,-293.8805,-45.3151,9.31135
180.5148,210.7272,89.7251,24.7227,18.7718,-14.6449,-44.7047,-23.6476,-545.04,-62.0997,18.314,37.0823,-28.683,4.27596,-295.4064,-43.1788,5.80184
184.1769,210.8798,93.6924,28.9952,18.0089,-9.76212,-44.7047,-9.76212,-549.1599,-60.2687,19.2296,47.0005,-27.1571,7.63289,-295.559,-41.653,8.09065
182.3459,209.0487,89.7251,24.5701,18.6192,-15.8656,-51.4186,-26.3942,-557.247,-62.8627,14.9571,43.1858,-31.7348,4.12337,-298.7634,-40.5848,2.4449
181.7355,213.016,89.1148,26.2486,15.5675,-11.5932,-48.8246,-17.2389,-549.6177,-59.048,14.9571,38.4556,-29.9037,7.4803,-295.559,-36.7702,6.10701
184.6347,216.0678,90.9458,29.7581,18.6192,-6.40519,-41.0426,-10.6776,-545.803,-50.6556,21.3658,40.897,-21.5114,13.889,-285.946,-28.8356,11.4476
185.8554,213.779,89.4199,29.9107,21.2132,-9.45694,-40.89,-18.307,-538.3262,-46.2306,24.5701,47.1531,-17.5441,14.9571,-281.8261,-24.7157,10.3795
188.1442,217.8988,91.5562,34.6409,17.5511,-2.13273,-39.3641,-0.454263,-539.0891,-43.0263,24.4175,56.6136,-17.5441,19.6873,-281.9787,-23.6476,14.3468
187.3813,217.1359,86.5208,30.3685,15.5675,-8.08365,-47.2987,-16.1708,-547.0237,-46.8409,20.2977,51.1204,-24.7157,19.6873,-288.54,-24.8683,8.24324
187.6865,214.9997,88.1992,31.7418,13.2786,-6.55777,-49.4349,-11.8983,-545.9555,-49.1298,17.8563,47.1531,-27.6149,17.3985,-292.2021,-26.2416,7.63289
188.7546,215.9152,90.1829,31.7418,14.9571,-5.33707,-47.7565,-11.1354,-552.0591,-52.6393,17.0933,44.8643,-27.9201,13.7364,-292.6598,-28.8356,7.32771
187.2287,216.9833,86.9785,27.7745,17.3985,-10.9828,-47.9091,-22.4269,-547.1762,-54.7755,16.0252,47.1531,-29.9037,11.6002,-293.728,-29.4459,4.27596
185.3976,218.967,88.9622,32.3521,16.483,-1.98014,-42.2633,-6.71036,-545.04,-51.7238,15.5675,54.7825,-31.8873,14.9571,-295.2538,-27.3097,10.3795
179.7519,214.5419,82.2483,29.6055,14.9571,-7.4733,-47.7565,-24.1054,-551.1435,-57.2169,8.85359,43.0333,-40.2797,8.701,-303.6462,-31.5822,7.63289
180.9726,214.6945,81.3328,29.6055,12.2105,-9.60953,-48.2142,-20.2907,-548.0918,-59.9635,7.4803,36.7772,-41.8055,5.0389,-305.7824,-36.0072,7.78548
188.4494,216.5255,85.3001,25.9434,15.1097,-11.8983,-44.8573,-18.4596,-552.0591,-57.9799,14.4993,41.8125,-37.5331,7.02254,-301.0522,-34.3287,5.34407
191.196,215.3048,86.2156,19.8399,16.1778,-17.3915,-46.5358,-27.6149,-547.0237,-54.9281,18.314,44.7117,-35.2443,7.02254,-298.6108,-30.3615,2.29232
190.7382,216.5255,90.0303,25.6382,13.5838,-7.16813,-42.5685,-9.76212,-544.4297,-49.4349,19.8399,45.0169,-31.8873,10.5321,-293.5754,-25.3261,10.6846
186.7709,212.4057,85.1475,25.4857,15.72,-9.76212,-46.3832,-25.0209,-548.0918,-51.8763,19.3821,38.6082,-34.3287,8.54842,-293.2702,-25.6312,8.54842
185.7028,213.779,84.8423,29.7581,16.483,-7.77848,-46.3832,-19.8329,-544.1245,-52.0289,20.7554,45.9324,-33.2606,9.00618,-294.9487,-26.3942,8.24324
186.7709,217.2885,86.063,32.3521,17.3985,-6.2526,-46.6884,-17.2389,-550.6858,-50.8082,22.7391,50.6626,-32.4977,11.7528,-296.6271,-24.7157,6.2596
185.8554,215.61,82.7061,29.1478,14.1942,-10.3725,-52.0289,-25.3261,-549.4651,-49.8927,22.8917,47.4583,-32.4977,11.9053,-297.8478,-24.8683,2.13973
