EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
-6.40519,-1.2172,-1.98014,6.71736,12.2105,8.701,12.0579,-9.60953,-5.94742
-6.86295,0.0035,-1.36979,5.19148,7.78548,11.7528,12.6683,-10.6776,-2.89567
-7.01554,5.34407,1.68197,1.98714,0.156088,15.72,11.9053,-9.91471,-3.96378
-8.694,5.64925,0.156088,-4.42155,-12.8139,15.8726,11.1424,-10.9828,-8.38883
-10.2199,-0.606851,-7.4733,-15.5605,-30.0563,12.5157,10.8372,-19.8329,-11.5932
-9.45694,-0.454263,-10.6776,-21.2062,-39.3641,11.4476,8.09065,-25.3261,-10.3725
-11.1354,0.156088,-15.4079,-27.3097,-45.4677,5.34407,-1.36979,-30.0563,-10.5251
-12.8139,-3.50602,-21.2062,-32.9555,-49.1298,-4.26896,-7.62589,-37.0753,-12.2035
-14.9501,-8.23624,-21.8166,-28.2252,-41.0426,-8.08365,-8.08365,-39.8219,-13.5768
-20.5958,-8.54142,-15.2553,-14.7975,-21.8166,-5.0319,-11.1354,-35.702,-15.1027
-21.3588,-1.52238,-4.87931,0.308676,-2.59049,-0.912027,-11.288,-27.9201,-13.4242
-17.0863,1.83455,-1.52238,4.27596,3.66561,1.98714,-2.4379,-24.258,-9.15177
-14.7975,1.37679,-3.04826,0.613851,-0.301676,6.10701,3.05526,-23.6476,-4.87931
-14.9501,1.68197,-3.96378,-0.759439,-4.26896,9.31135,1.52938,-21.0536,-3.20084
-12.8139,5.0389,-0.454263,1.07161,-4.42155,14.9571,8.39583,-13.119,-1.2172
-10.5251,9.46394,2.29232,1.07161,-5.79484,23.1968,20.7554,-2.89567,-2.28532
-15.5605,3.81819,-7.32071,-9.76212,-16.1708,22.4339,23.1968,-0.301676,-12.3561
-16.9337,-2.13273,-16.6286,-19.5277,-25.9364,18.0089,20.6028,-2.74308,-18.307
-11.7458,-2.13273,-18.0019,-21.3588,-31.1244,18.314,19.077,-5.0319,-15.2553
-12.5087,-4.72672,-19.9855,-25.0209,-37.9909,15.4149,12.3631,-14.1872,-15.2553
-14.0346,-4.11637,-17.2389,-21.664,-36.1598,10.9898,4.73372,-24.7157,-14.0346
-10.8302,5.0389,-4.57413,-7.16813,-20.7484,10.3795,5.0389,-24.5631,-5.33707
-7.62589,15.1097,7.63289,5.64925,-6.40519,15.1097,7.78548,-19.2226,1.98714
-5.0319,16.0252,7.17513,7.17513,-3.20084,18.1614,7.63289,-19.2226,0.461263
-3.20084,10.6846,1.2242,3.36043,-2.59049,11.4476,10.9898,-19.07,-3.96378
-3.65861,6.71736,0.156088,2.90267,1.2242,7.93806,13.4312,-13.2716,-4.26896
-6.10001,4.12337,-0.912027,-0.454263,-0.759439,10.9898,7.78548,-12.6613,-4.11637
-5.94742,5.34407,-1.36979,-4.11637,-6.71036,12.6683,7.02254,-14.9501,-4.26896
-4.72672,4.12337,-4.42155,-7.77848,-13.7294,13.2786,13.2786,-14.1872,-3.50602
-6.10001,-0.454263,-9.15177,-13.2716,-19.9855,15.5675,14.8045,-11.8983,-4.72672
-5.48966,1.37679,-6.2526,-10.9828,-19.07,21.0606,17.0933,-6.2526,-7.01554
-5.79484,3.51302,-3.96378,-9.91471,-21.8166,21.9761,21.3658,-7.16813,-10.0673
-8.08365,1.68197,-6.55777,-15.5605,-30.9718,20.2977,16.483,-16.7812,-11.8983
-7.16813,-1.36979,-10.9828,-19.8329,-37.3805,16.1778,3.36043,-28.3778,-9.30435
-4.72672,1.2242,-8.694,-16.1708,-34.6339,10.6846,-1.2172,-33.871,-4.57413
-5.79484,9.61653,2.13973,-3.04826,-19.9855,12.2105,8.701,-24.7157,-1.36979
-8.99918,11.295,7.78548,5.64925,-5.79484,13.5838,13.2786,-15.4079,-0.912027
-8.08365,8.09065,7.17513,5.34407,-0.912027,12.3631,7.78548,-15.713,-1.98014
-4.57413,5.19148,3.51302,1.68197,-2.4379,13.2786,6.10701,-18.4596,-4.11637
-2.74308,4.73372,-0.759439,-3.81119,-6.40519,10.3795,5.64925,-20.7484,-5.0319
-1.98014,4.73372,-3.50602,-6.55777,-9.45694,5.80184,3.51302,-21.9691,-4.42155
-4.11637,0.613851,-7.77848,-9.60953,-14.1872,7.32771,3.97078,-20.901,-6.2526
-8.38883,-2.28532,-9.91471,-12.8139,-19.07,16.7882,9.15877,-16.3234,-9.30435
-10.8302,-3.65861,-12.0509,-16.476,-24.5631,19.9925,11.4476,-14.4923,-9.76212
-8.08365,-1.98014,-12.0509,-18.4596,-28.3778,11.9053,8.39583,-18.0019,-6.10001
-3.50602,4.42855,-5.48966,-10.9828,-23.0373,12.5157,11.295,-16.6286,-1.67497
-6.10001,2.75008,-5.79484,-7.93106,-20.4433,18.314,14.6519,-15.8656,-2.59049
-10.2199,-4.26896,-12.0509,-14.1872,-27.0045,12.8209,5.95442,-24.5631,-4.87931
-8.38883,-5.18448,-13.5768,-16.476,-30.5141,2.75008,-0.606851,-32.9555,-2.74308
-5.18448,0.919027,-7.01554,-10.0673,-24.1054,1.68197,1.07161,-33.4132,2.29232
-2.13273,8.09065,1.52938,-1.52238,-14.4923,6.2596,-0.912027,-28.8356,7.32771
-3.50602,3.51302,-1.2172,-4.11637,-14.4923,6.10701,-5.0319,-27.0045,7.93806
-8.08365,-3.65861,-7.93106,-11.8983,-21.2062,4.27596,-2.89567,-29.9037,6.56477
-7.32071,-2.89567,-9.45694,-14.1872,-24.7157,3.51302,-1.67497,-32.6503,7.17513
-4.26896,-1.52238,-10.5251,-15.8656,-24.4105,3.66561,-5.48966,-29.9037,6.41219
-3.50602,-2.28532,-12.5087,-18.4596,-24.7157,6.41219,-5.48966,-23.8002,4.27596
-4.11637,-2.59049,-13.2716,-20.1381,-27.1571,4.27596,-0.759439,-23.0373,2.4449
-3.04826,1.07161,-7.77848,-15.4079,-25.7838,2.4449,3.51302,-23.495,1.52938
-1.98014,4.42855,-1.98014,-7.16813,-21.8166,9.92171,5.80184,-21.664,4.27596
-1.98014,4.42855,-1.52238,-5.64225,-24.258,16.483,7.02254,-23.6476,8.85359
