EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
198.6728,324.4051,343.6312,404.6663,370.0288,311.4351,280.4598,525.3632,334.7811
200.3512,330.2034,348.6666,407.718,371.4021,316.3179,284.7323,528.5675,337.5276
200.6564,334.7811,354.3123,411.3801,373.5384,317.9964,288.6996,531.1615,339.8165
198.8254,332.1871,354.9227,412.4482,374.7591,313.2662,289.9203,533.1452,339.2061
196.6891,328.0672,352.4813,412.7534,375.2168,309.2989,288.8522,532.84,337.6802
198.3676,329.7457,353.0916,416.1104,377.0479,313.2662,290.378,533.4503,338.4432
203.0978,333.2552,355.0752,420.2302,379.9471,317.5387,292.3617,534.9762,339.9691
202.0297,330.356,352.1761,417.7888,377.9634,310.367,286.4107,530.246,337.5276
200.0461,328.525,350.345,415.3474,376.1324,302.5851,279.6969,525.3632,337.3751
205.997,333.713,353.8545,419.0095,380.4048,306.8575,281.2228,528.5675,342.8682
208.4384,332.3397,352.4813,420.2302,382.9988,311.2826,282.5961,532.2296,342.7156
204.7763,325.168,348.0562,417.9414,382.0833,311.4351,282.4435,533.9081,338.138
205.5392,326.5413,350.1924,418.094,382.0833,314.7921,285.8004,536.6547,338.138
209.0487,332.0345,353.3968,417.9414,380.4048,316.3179,287.784,535.434,339.0535
210.2694,333.2552,352.4813,416.1104,378.2686,314.4869,287.6314,533.2978,337.9854
209.8117,331.119,351.108,416.1104,379.0315,313.8765,288.2418,536.3495,337.0699
208.591,329.1353,348.8191,415.9578,379.7945,315.0972,285.6478,537.1125,335.8492
204.7763,326.6939,343.0208,410.9224,377.2005,312.961,278.7814,531.0089,330.6612
203.7082,328.525,342.4105,409.5491,375.9798,312.1981,278.0184,530.0934,329.7457
208.591,334.7811,348.514,415.6526,377.6582,316.6231,284.2745,535.5866,336.4595
211.6427,335.2388,350.0398,418.2466,375.522,314.3343,283.0538,533.1452,340.1216
210.8798,330.356,345.92,414.5845,371.097,307.0101,275.577,525.6684,338.4432
210.1169,326.6939,341.1898,410.312,369.2659,307.1627,272.6778,523.227,336.1544
210.5746,325.168,338.7484,408.0232,368.503,309.7567,273.4408,523.9899,336.7647
210.8798,325.168,341.9527,408.6336,367.2823,307.773,274.5089,525.3632,340.4268
210.2694,326.0836,347.4459,409.3965,363.0098,307.3153,276.0348,525.3632,342.1053
211.7953,329.7457,351.5657,411.6853,360.721,311.4351,278.6288,526.1261,342.7156
211.185,331.119,352.0235,414.2793,362.7046,311.2826,279.0865,528.2624,340.732
206.3022,327.3043,348.6666,413.0586,362.552,306.8575,276.4925,527.0417,334.9337
204.6237,326.2362,344.5467,410.312,361.9417,307.773,275.7296,525.9735,330.356
205.997,328.0672,339.8165,408.1758,363.7727,312.8084,276.7977,529.3305,328.0672
206.6073,327.9146,336.7647,407.2603,364.9934,314.3343,277.1029,531.1615,329.5931
204.3185,325.6258,338.4432,409.2439,363.9253,307.773,273.1356,527.652,333.8655
201.7245,325.168,342.7156,414.1267,364.5357,301.5169,268.7106,526.1261,336.4595
204.4711,329.5931,345.92,417.9414,368.3504,305.3316,271.7623,531.1615,334.9337
209.2013,334.9337,346.9881,418.2466,371.4021,312.3507,278.6288,537.4176,332.4923
214.2367,342.1053,351.8709,422.3665,375.9798,317.8438,285.6478,544.4367,336.7647
219.1195,346.8355,355.6856,426.3337,380.0996,322.8792,288.6996,545.1996,342.2579
217.2885,340.8846,348.2088,418.8569,373.5384,318.7594,279.8495,532.5348,338.5958
212.2531,334.1707,339.8165,409.5491,361.3313,307.1627,267.9476,522.1589,333.1026
213.6264,337.3751,342.1053,410.1594,356.4485,304.1109,266.7269,522.9218,333.4078
220.4928,342.4105,347.4459,415.3474,360.1106,309.9093,272.6778,526.1261,334.9337
224.9179,340.8846,348.3614,417.9414,365.4512,314.6395,277.5607,529.6357,334.6285
225.6808,339.0535,349.1243,421.1457,371.7073,319.2171,282.7486,539.0961,335.0862
225.0705,341.0372,349.4295,422.6716,375.8272,320.5904,285.19,546.2677,335.544
220.1877,339.3587,345.4622,417.1785,370.0288,314.0291,279.5443,540.7746,332.4923
217.2885,338.7484,346.6829,415.9578,366.3667,311.7403,278.171,538.1806,332.95
221.2558,344.2415,354.7701,422.3665,372.6228,318.6068,285.0375,545.3522,338.4432
218.0514,340.732,350.6502,415.3474,365.7564,314.9447,279.8495,538.9435,333.8655
207.5229,331.8819,339.2061,400.699,349.5821,302.2799,267.0321,523.5321,323.7948
204.3185,334.6285,341.6475,403.1404,351.7183,297.7022,265.8114,523.3796,326.5413
209.2013,341.6475,350.8028,413.5164,361.4839,304.4161,271.9149,530.246,335.3914
211.7953,340.732,354.3123,416.4155,361.1788,313.4188,275.2718,530.0934,336.1544
212.2531,342.7156,359.1951,420.8406,365.146,318.9119,279.8495,533.7555,336.6121
218.0514,353.2442,367.74,429.9958,378.116,327.1517,289.6151,545.1996,341.3423
223.5446,358.2796,372.3177,433.6579,385.2876,334.3233,297.0919,553.2868,342.2579
