EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
-10.8302,9.76912,21.3658,14.8045,34.4883,18.1614,17.5511,13.889,7.78548
-16.6286,7.17513,20.2977,23.6546,46.085,17.8563,24.7227,29.1478,6.71736
-16.3234,8.09065,22.7391,35.0987,66.5318,21.671,32.9625,47.3057,8.85359
-10.3725,11.9053,28.9952,45.9324,85.1475,28.3848,39.9815,61.0386,14.1942
-5.64225,10.9898,29.6055,47.3057,91.5562,29.7581,41.8125,62.7171,14.3468
-7.77848,6.10701,23.502,37.5401,86.5208,24.8753,35.4039,51.1204,5.49666
-12.2035,4.12337,17.7037,23.9598,74.6189,19.9925,25.9434,34.3357,0.0035
-9.15177,7.4803,17.8563,17.0933,64.0904,17.8563,19.8399,21.5184,5.34407
-4.26896,10.3795,21.3658,17.2459,58.7498,15.8726,16.7882,14.4993,13.7364
-6.10001,7.4803,18.1614,11.9053,49.8997,12.3631,11.4476,5.64925,11.295
-9.30435,3.97078,11.7528,3.51302,37.3875,10.5321,6.41219,-4.26896,1.07161
-8.08365,5.64925,12.3631,4.12337,34.1832,12.3631,9.46394,-5.48966,1.2242
-2.74308,11.295,20.6028,14.6519,45.6272,16.483,16.1778,1.98714,12.6683
1.07161,15.2623,28.2322,26.4012,62.2593,20.7554,20.908,12.0579,21.2132
-2.4379,13.2786,28.2322,32.3521,73.093,22.4339,25.6382,22.8917,17.8563
-7.77848,5.64925,21.5184,31.8943,75.5344,19.5347,27.7745,31.5892,7.02254
-5.0319,3.05526,16.1778,28.69,72.9405,16.9407,26.8589,35.5565,2.13973
1.37679,10.2269,21.0606,28.69,71.8723,21.671,29.6055,38.1504,7.93806
3.20784,17.5511,31.1314,33.2676,76.45,27.4693,34.3357,39.5237,18.314
1.98714,16.1778,31.4366,30.9788,75.687,23.1968,27.1641,30.5211,23.1968
-5.0319,4.27596,14.1942,7.32771,48.0686,5.34407,0.156088,0.461263,12.3631
-10.9828,-6.10001,-5.0319,-21.9691,10.3795,-11.288,-21.664,-31.4296,-0.606851
-5.18448,-0.606851,-1.36979,-22.2743,3.81819,-8.99918,-15.2553,-31.4296,5.0389
-1.98014,5.34407,9.31135,-9.45694,10.2269,-2.28532,-6.10001,-19.5277,12.2105
-13.2716,-6.71036,-2.28532,-19.3751,-5.64225,-11.8983,-17.3915,-30.3615,-5.33707
-21.2062,-23.9528,-19.8329,-34.0236,-19.9855,-26.089,-29.5985,-44.0944,-26.089
-18.1544,-29.5985,-22.2743,-28.9882,-9.30435,-28.9882,-27.3097,-36.9227,-26.3942
-14.0346,-27.0045,-21.664,-20.901,5.19148,-25.1735,-20.901,-23.9528,-28.2252
-12.6613,-25.9364,-24.7157,-19.6803,16.483,-24.258,-18.1544,-17.2389,-38.296
-15.4079,-22.4269,-15.1027,-5.48966,48.0686,-18.7648,-9.60953,-3.04826,-29.1408
-22.4269,-20.5958,-5.48966,7.17513,71.262,-16.3234,-9.60953,1.37679,-16.0182
-27.9201,-29.4459,-18.4596,-8.38883,54.1722,-30.3615,-28.683,-20.2907,-25.7838
-24.7157,-34.3287,-29.2934,-23.495,36.472,-38.7538,-36.6176,-32.9555,-32.8029
-18.6122,-27.9201,-22.4269,-21.5114,33.5728,-31.277,-28.8356,-27.9201,-21.3588
-21.664,-26.3942,-21.664,-28.2252,13.4312,-31.5822,-33.4132,-35.702,-18.7648
-26.2416,-29.7511,-25.3261,-35.0917,-9.30435,-38.6012,-41.5004,-45.3151,-26.089
-23.6476,-26.089,-17.3915,-19.9855,0.919027,-34.1762,-33.5658,-32.6503,-21.9691
-22.7321,-22.7321,-11.8983,-2.74308,26.7064,-27.6149,-25.9364,-17.6967,-20.4433
-24.1054,-27.7675,-18.4596,-3.81119,38.7608,-30.3615,-30.3615,-18.1544,-32.6503
-24.5631,-31.8873,-23.9528,-10.3725,44.8643,-33.2606,-33.2606,-20.4433,-39.9745
-25.7838,-28.0726,-19.2226,-6.2526,54.7825,-30.2089,-26.2416,-15.5605,-31.277
-23.3424,-23.3424,-15.8656,-4.72672,54.0196,-29.1408,-24.1054,-18.6122,-23.0373
-20.5958,-22.7321,-18.307,-13.4242,39.9815,-33.108,-32.9555,-31.5822,-25.4787
-24.8683,-25.9364,-22.4269,-22.7321,25.1805,-39.059,-41.5004,-42.2633,-28.2252
-29.1408,-31.5822,-28.8356,-30.3615,13.5838,-44.5521,-46.2306,-48.0616,-26.6994
-28.2252,-33.2606,-33.108,-38.6012,0.766439,-45.3151,-49.1298,-52.0289,-23.8002
-26.5468,-30.6666,-33.2606,-47.2987,-16.3234,-43.1788,-48.672,-54.6229,-20.901
-26.6994,-28.683,-28.683,-44.3995,-22.2743,-38.296,-40.89,-45.7728,-20.901
-28.3778,-27.9201,-19.07,-24.7157,-5.18448,-29.5985,-28.2252,-24.1054,-21.2062
-29.9037,-28.9882,-14.4923,-9.30435,19.077,-25.3261,-21.3588,-9.30435,-23.0373
-31.277,-31.8873,-17.2389,-6.71036,37.2349,-27.4623,-18.0019,-6.40519,-30.3615
-30.0563,-30.3615,-17.2389,-4.11637,50.8152,-25.7838,-11.5932,-3.04826,-32.1925
-25.4787,-26.5468,-13.2716,-0.149088,56.461,-22.2743,-11.5932,-2.59049,-25.6312
-25.4787,-28.0726,-14.3398,-5.0319,47.4583,-27.1571,-22.8847,-15.2553,-21.8166
-30.2089,-32.0399,-22.7321,-17.0863,32.0469,-35.702,-35.2443,-31.8873,-23.495
-30.2089,-31.5822,-27.9201,-25.1735,21.5184,-37.6857,-41.3478,-39.3641,-22.5795
-26.8519,-28.8356,-31.5822,-35.3969,9.00618,-39.3641,-46.3832,-48.0616,-17.2389
-27.7675,-27.9201,-37.5331,-51.5712,-11.7458,-44.8573,-57.6747,-66.6774,-16.7812
-30.3615,-24.1054,-32.6503,-51.1134,-21.3588,-41.653,-61.0316,-71.8653,-15.4079
-27.3097,-18.7648,-19.07,-29.7511,-5.48966,-29.4459,-44.7047,-50.8082,-10.3725
-23.1898,-17.8493,-9.76212,-5.48966,27.3167,-19.9855,-19.8329,-19.2226,-10.3725
-24.8683,-17.6967,-4.11637,14.3468,63.0222,-11.7458,-0.912027,9.15877,-14.4923
-27.6149,-19.3751,-1.98014,22.1287,80.2647,-6.55777,5.34407,23.8072,-21.0536
-27.4623,-23.1898,-5.33707,13.5838,66.8369,-9.45694,1.2242,18.7718,-23.6476
-26.3942,-21.5114,-7.32071,-0.912027,41.2022,-12.9665,-5.0319,3.51302,-17.2389
-26.3942,-16.0182,-5.48966,-12.3561,18.7718,-14.4923,-14.0346,-15.1027,-10.5251
-29.4459,-14.4923,-7.93106,-26.5468,-5.94742,-21.2062,-29.2934,-38.296,-8.38883
-31.7348,-16.3234,-15.8656,-40.2797,-25.3261,-28.9882,-40.1271,-52.9445,-6.86295
-30.6666,-17.0863,-21.3588,-43.484,-26.2416,-29.7511,-35.0917,-47.9091,-5.48966
-27.1571,-14.6449,-23.6476,-42.5685,-18.9174,-26.6994,-28.2252,-39.9745,-6.71036
-24.4105,-10.9828,-21.2062,-40.1271,-16.1708,-25.1735,-30.5141,-39.8219,-7.4733
-25.7838,-9.45694,-14.6449,-27.3097,-10.0673,-22.5795,-27.4623,-31.4296,-5.18448
-29.7511,-11.7458,-10.5251,-8.38883,8.24324,-18.0019,-15.8656,-12.8139,-9.60953
-31.1244,-14.9501,-8.23624,5.34407,30.8262,-14.3398,-7.32071,-0.149088,-16.9337
-27.4623,-14.0346,-1.98014,13.4312,49.4419,-9.91471,-2.89567,4.12337,-14.6449
-25.6312,-12.0509,5.19148,18.1614,60.1231,-5.94742,-1.67497,5.80184,-7.62589
-29.5985,-14.4923,3.97078,13.4312,55.5454,-8.99918,-7.16813,1.07161,-5.48966
-32.0399,-18.7648,-3.96378,0.0035,38.6082,-15.2553,-12.0509,-8.84659,-10.3725
-28.8356,-20.5958,-8.694,-10.9828,22.8917,-17.6967,-11.7458,-13.7294,-13.7294
-27.4623,-20.1381,-11.5932,-19.2226,10.5321,-17.3915,-15.1027,-17.3915,-9.60953
-33.4132,-20.5958,-19.8329,-33.7184,-7.4733,-20.7484,-25.7838,-30.5141,-5.79484
-34.9391,-17.6967,-28.0726,-53.097,-31.277,-23.495,-32.0399,-43.7892,-6.40519
-24.1054,-9.30435,-23.6476,-58.4376,-42.8737,-16.6286,-26.2416,-41.8055,-9.30435
-15.713,-5.79484,-11.1354,-40.7374,-28.5304,-6.55777,-14.6449,-25.9364,-12.8139
-19.07,-7.4733,-3.65861,-14.1872,5.49666,0.308676,-1.52238,-4.42155,-15.1027
-21.3588,-5.18448,2.75008,8.701,40.2867,8.39583,10.3795,16.7882,-14.7975
-19.8329,-4.42155,7.63289,20.1451,59.8179,9.76912,13.7364,25.6382,-12.2035
-21.5114,-9.91471,6.10701,20.2977,66.074,0.613851,9.92171,20.2977,-10.2199
-21.8166,-11.1354,6.71736,21.3658,70.0413,-4.42155,7.32771,15.4149,-6.55777
-19.3751,-6.2526,9.31135,22.2813,70.9568,-1.67497,5.19148,13.2786,-2.4379
