EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
-6.55777,10.9898,11.295,9.31135,0.919027,29.1478,12.8209,-25.6312,7.78548
-6.71036,9.61653,10.8372,11.4476,5.95442,28.0796,17.2459,-11.1354,6.71736
-6.55777,8.701,13.126,20.908,22.4339,30.8262,25.3331,11.295,8.85359
-5.48966,12.5157,21.3658,36.0142,40.7444,39.3711,35.8616,32.5047,14.1942
-4.42155,15.72,26.4012,43.7962,48.2212,45.7798,43.6436,41.5074,14.3468
-6.10001,11.1424,18.7718,35.709,41.8125,40.4393,38.6082,32.6573,5.49666
-9.15177,4.12337,7.63289,21.0606,27.9271,30.8262,24.5701,12.8209,0.0035
-8.84659,4.58113,7.4803,13.889,17.7037,27.3167,14.4993,-5.79484,5.34407
-5.64225,9.46394,15.1097,15.4149,15.2623,28.8426,11.295,-15.8656,13.7364
-5.48966,8.85359,14.9571,14.6519,10.8372,27.4693,9.00618,-22.8847,11.295
-8.23624,4.42855,7.93806,9.00618,3.36043,22.7391,5.0389,-30.3615,1.07161
-7.77848,4.73372,7.78548,8.09065,4.12337,21.671,3.05526,-31.7348,1.2242
-3.81119,9.76912,15.72,16.9407,15.2623,25.6382,8.09065,-24.7157,12.6683
-1.52238,13.889,22.4339,29.7581,29.9107,32.1995,20.2977,-8.54142,21.2132
-2.89567,13.4312,21.9761,37.3875,40.4393,37.2349,31.1314,11.9053,17.8563
-6.55777,8.09065,14.4993,34.3357,41.5074,34.1832,32.0469,24.265,7.02254
-6.2526,2.59749,7.78548,26.2486,35.2513,28.69,27.1641,25.7908,2.13973
-1.82755,3.36043,8.701,22.7391,30.8262,28.2322,23.502,22.1287,7.93806
0.308676,10.0743,14.8045,24.7227,33.115,29.6055,20.908,16.9407,18.314
1.98714,15.5675,17.3985,23.6546,31.4366,27.4693,15.2623,5.19148,23.1968
1.98714,8.54842,5.64925,4.12337,6.71736,15.1097,-2.28532,-25.9364,12.3631
-2.89567,-5.0319,-10.9828,-22.4269,-26.089,-1.06461,-25.6312,-61.0316,-0.606851
-2.89567,-5.0319,-8.99918,-25.0209,-31.277,-3.04826,-30.0563,-68.3558,5.0389
2.59749,0.766439,-0.149088,-17.8493,-25.7838,2.13973,-22.1217,-61.3368,12.2105
1.52938,-7.77848,-10.9828,-28.9882,-39.9745,-3.50602,-27.3097,-71.4076,-5.33707
-3.81119,-19.3751,-26.5468,-39.6693,-51.4186,-11.1354,-36.3124,-83.7672,-26.089
-3.65861,-17.6967,-23.8002,-30.9718,-39.8219,-6.40519,-30.3615,-72.1705,-26.3942
-2.59049,-15.4079,-19.5277,-23.495,-27.6149,-0.912027,-20.901,-52.9445,-28.2252
-5.94742,-22.2743,-27.0045,-26.6994,-23.6476,-3.35343,-19.8329,-43.6366,-38.296
-5.79484,-20.5958,-22.1217,-13.7294,-1.06461,1.98714,-11.4406,-26.5468,-29.1408
-1.36979,-16.0182,-13.5768,-1.06461,18.314,5.0389,-6.40519,-18.4596,-16.0182
-0.759439,-23.3424,-24.5631,-17.6967,2.29232,-7.93106,-22.5795,-42.2633,-25.7838
-2.4379,-26.089,-32.0399,-32.1925,-15.4079,-16.0182,-36.3124,-62.0997,-32.8029
-0.606851,-16.476,-21.8166,-27.1571,-15.5605,-8.38883,-34.3287,-57.8273,-21.3588
-1.2172,-14.7975,-19.8329,-32.1925,-28.0726,-7.4733,-35.2443,-62.8627,-18.7648
-7.32071,-22.2743,-29.1408,-42.2633,-44.7047,-17.2389,-40.4323,-78.274,-26.089
-8.694,-21.0536,-25.6312,-30.6666,-34.3287,-14.6449,-32.6503,-69.8817,-21.9691
-6.2526,-17.2389,-16.7812,-13.5768,-13.2716,-5.94742,-22.1217,-48.8246,-20.4433
-11.288,-24.7157,-23.1898,-13.882,-7.32071,-10.0673,-25.7838,-41.653,-32.6503
-18.6122,-32.6503,-32.4977,-17.2389,-4.26896,-16.476,-29.5985,-39.059,-39.9745
-16.0182,-27.7675,-28.683,-10.9828,6.71736,-13.5768,-23.0373,-33.7184,-31.277
-11.5932,-21.664,-25.0209,-11.288,8.54842,-13.7294,-24.258,-41.3478,-23.0373
-11.1354,-22.5795,-29.1408,-21.3588,-2.28532,-20.901,-34.9391,-58.8954,-25.4787
-8.694,-25.1735,-31.5822,-27.3097,-12.5087,-23.6476,-39.3641,-67.2877,-28.2252
-7.93106,-26.089,-28.9882,-26.5468,-19.5277,-20.901,-36.6176,-68.5084,-26.6994
-10.2199,-23.495,-25.0209,-26.6994,-27.6149,-19.3751,-34.6339,-72.9335,-23.8002
-10.5251,-20.4433,-22.7321,-33.871,-38.7538,-19.2226,-38.6012,-78.5792,-20.901
-9.30435,-19.6803,-21.9691,-38.296,-41.8055,-16.476,-39.2116,-73.6964,-20.901
-8.99918,-19.8329,-19.6803,-30.2089,-28.683,-11.5932,-29.1408,-55.9962,-21.2062
-11.1354,-20.2907,-17.8493,-20.5958,-13.4242,-10.0673,-21.5114,-42.7211,-23.0373
-13.5768,-21.8166,-20.2907,-19.2226,-5.0319,-13.119,-23.9528,-39.2116,-30.3615
-10.6776,-21.0536,-20.901,-16.476,4.73372,-11.7458,-22.1217,-34.1762,-32.1925
-5.0319,-17.6967,-16.7812,-9.15177,13.7364,-7.62589,-16.0182,-32.8029,-25.6312
-4.57413,-16.476,-15.1027,-9.15177,10.3795,-8.84659,-19.3751,-44.5521,-21.8166
-7.62589,-16.0182,-17.5441,-16.476,-0.606851,-11.4406,-26.8519,-56.6066,-23.495
-6.40519,-13.882,-18.0019,-18.4596,-6.40519,-8.99918,-24.8683,-56.6066,-22.5795
-3.35343,-13.5768,-18.307,-19.5277,-11.7458,-6.86295,-21.2062,-54.7755,-17.2389
