EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
9.46394,29.9107,32.1995,47.0005,19.07697,11.7528,18.0089,-5.64225,22.2813
11.9053,38.9134,41.8125,55.0877,27.77447,18.9244,24.265,2.90267,25.4857
11.4476,36.0142,40.897,53.867,25.63825,18.7718,26.7064,3.20784,24.8753
11.6002,33.4202,37.3875,50.8152,22.28131,13.4312,25.1805,-0.454263,23.9598
14.6519,39.066,41.66,55.8506,28.23224,15.5675,28.5374,4.42855,27.4693
17.2459,43.0333,46.5428,61.649,36.01421,23.0443,33.7254,12.8209,30.3685
17.5511,39.6763,44.4065,59.9705,34.18316,24.265,33.878,14.4993,27.1641
17.2459,36.472,41.0496,56.3084,27.16412,19.3821,31.8943,12.3631,22.2813
16.1778,37.8453,41.5074,55.3929,25.02789,16.9407,30.8262,11.4476,21.671
14.6519,38.303,41.3548,55.5454,29.75812,20.6028,31.4366,12.3631,23.502
15.8726,37.0823,39.6763,55.8506,36.47198,24.5701,33.878,14.3468,26.096
18.314,36.472,38.1504,54.9351,37.23492,22.4339,32.8099,12.6683,29.4529
19.077,35.5565,36.0142,51.7308,32.19952,17.5511,28.8426,8.24324,30.5211
19.5347,36.1668,35.709,50.6626,30.97882,17.0933,29.9107,9.92171,27.7745
21.3658,39.6763,38.303,53.104,35.86163,23.502,36.3194,17.8563,25.6382
24.1124,41.2022,40.4393,54.6299,40.74443,30.3685,39.2186,22.8917,27.0115
24.265,37.2349,38.1504,52.7989,39.9815,27.9271,35.2513,20.1451,26.2486
21.0606,31.1314,32.8099,49.5945,36.31939,19.9925,29.4529,14.1942,22.2813
18.7718,31.8943,32.3521,49.8997,37.23492,16.7882,25.7908,10.8372,21.5184
21.5184,39.6763,38.1504,54.6299,43.03325,19.8399,26.5538,12.8209,26.5538
24.8753,43.7962,42.7281,59.055,49.28935,22.2813,29.4529,18.4666,31.7418
24.1124,38.9134,41.5074,58.9024,53.10404,22.2813,30.9788,23.9598,32.6573
23.8072,37.3875,39.8289,55.698,48.83159,24.4175,32.6573,27.0115,33.7254
25.9434,42.8807,41.8125,54.7825,39.21856,27.6219,33.2676,25.1805,38.303
23.9598,42.4229,42.1177,56.3084,33.57281,26.2486,28.8426,18.1614,41.0496
20.1451,36.9297,38.9134,57.3765,32.96246,22.7391,23.9598,11.9053,38.6082
21.2132,35.4039,38.1504,58.5972,34.33575,21.671,24.265,10.8372,35.8616
