EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
11.295,19.8399,-16.476,-27.7675,-29.1408,-22.1217,-26.8519,-37.07533,-30.51405,-32.80287,-25.93642,-15.8656,18.314,-8.694003,-27.30971,-20.44326,-22.5795
11.7528,19.6873,-17.2389,-24.258,-27.4623,-16.3234,-25.3261,-32.4977,-30.36147,-35.54945,-24.71572,-12.5087,36.9297,0.4612633,-19.83291,-22.12173,-19.6803
12.5157,23.0443,-13.5768,-18.6122,-23.6476,-8.84659,-20.901,-23.49502,-25.17348,-32.65028,-21.96914,-6.10001,40.5918,4.428545,-13.7294,-17.69668,-15.4079
13.5838,21.2132,-13.7294,-20.4433,-26.089,-8.23624,-19.9855,-18.61221,-26.54677,-33.56581,-25.02089,-5.48966,21.5184,-0.1490878,-24.41054,-14.79751,-18.6122
12.2105,17.8563,-15.1027,-26.2416,-28.9882,-12.3561,-21.2062,-19.9855,-35.24428,-37.99086,-33.10805,-11.8983,8.39583,-5.337072,-38.44862,-19.22256,-21.2062
8.39583,17.7037,-11.288,-25.4787,-22.8847,-13.119,-18.4596,-19.9855,-38.75379,-36.00721,-36.77015,-16.476,14.0416,-9.151766,-38.44862,-24.56313,-15.5605
10.2269,16.7882,-7.93106,-20.5958,-15.8656,-9.45694,-12.8139,-17.39151,-33.10805,-25.47866,-32.65028,-16.3234,18.6192,-15.56045,-32.65028,-22.12173,-10.6776
17.8563,14.9571,-11.8983,-21.2062,-19.07,-7.62589,-12.8139,-17.23892,-28.683,-14.79751,-25.93642,-17.6967,16.483,-19.37515,-34.32875,-16.01822,-14.7975
19.077,19.8399,-15.2553,-27.0045,-26.089,-9.91471,-17.5441,-18.91738,-27.4623,-7.931064,-23.18984,-17.5441,16.7882,-4.574133,-34.63392,-10.21988,-21.664
16.0252,29.1478,-11.4406,-28.5304,-24.258,-10.0673,-16.7812,-17.23892,-20.74844,-2.895668,-21.35879,-11.4406,24.7227,11.295,-23.34243,-7.320713,-20.5958
17.5511,30.2159,-8.694,-25.7838,-20.2907,-10.0673,-15.4079,-18.61221,-16.32339,-5.031896,-20.29067,-9.45694,34.0306,2.292317,-15.71304,-12.20352,-17.0863
18.314,25.9434,-14.1872,-27.7675,-27.0045,-19.5277,-25.6312,-32.03993,-27.4623,-21.81655,-27.00454,-18.6122,27.9271,-17.08633,-26.2416,-25.02089,-22.2743
17.5511,24.5701,-21.5114,-33.4132,-36.6176,-31.7348,-37.2279,-45.31507,-40.58485,-40.27967,-33.87099,-28.0726,8.85359,-26.85195,-39.36414,-36.31239,-30.8192
15.2623,21.5184,-24.5631,-35.5495,-38.7538,-33.871,-38.4486,-45.46766,-43.02625,-45.31507,-34.32875,-28.3778,-1.06461,-30.66664,-40.27967,-39.9745,-32.8029
9.15877,17.2459,-29.5985,-39.3641,-41.5004,-34.7865,-41.9581,-45.31507,-51.26599,-50.04529,-40.43226,-30.3615,-5.0319,-37.22792,-42.72108,-41.65296,-34.4813
9.15877,21.0606,-34.9391,-46.5358,-48.0616,-39.9745,-50.0453,-49.8927,-65.60924,-61.79455,-50.65564,-37.3805,-8.99918,-39.05897,-52.33411,-44.55213,-40.89
18.9244,27.1641,-33.5658,-49.2824,-48.8246,-41.1952,-47.4513,-49.8927,-68.35582,-69.11876,-50.04529,-40.4323,-7.16813,-30.66664,-57.52209,-48.97717,-42.8737
23.1968,26.7064,-31.7348,-49.2824,-45.6202,-41.1952,-41.0426,-48.21424,-66.52477,-70.94981,-46.38318,-43.0263,-10.9828,-27.4623,-61.1842,-55.23327,-40.7374
21.0606,24.4175,-34.3287,-50.0453,-46.6884,-44.5521,-43.3314,-52.02893,-67.13512,-71.56016,-48.82459,-45.9254,-15.2553,-39.82191,-61.94714,-57.3695,-41.3478
21.2132,25.3331,-36.7702,-50.5031,-52.0289,-49.5875,-47.7565,-58.28503,-64.54113,-70.03429,-51.26599,-45.6202,-5.94742,-52.18152,-55.38586,-57.3695,-44.3995
18.314,27.7745,-37.8383,-50.0453,-55.9962,-51.8763,-49.1298,-61.48937,-60.57385,-64.69372,-52.18152,-45.7728,-8.99918,-52.48669,-55.69104,-62.09972,-46.5358
12.0579,27.6219,-38.9064,-49.2824,-54.4703,-48.672,-47.9091,-58.28503,-55.84362,-53.85998,-53.55481,-46.078,-24.4105,-46.84095,-58.74279,-61.33678,-45.6202
11.295,25.0279,-39.8219,-54.4703,-51.266,-48.5194,-48.0616,-57.82727,-50.04529,-47.14612,-56.30139,-48.5194,-16.1708,-49.28235,-50.65564,-56.1488,-46.8409
18.9244,25.9434,-36.465,-58.4376,-49.4349,-52.0289,-48.2142,-61.94714,-45.77283,-48.51941,-54.47033,-52.3341,2.29232,-55.38586,-42.4159,-55.84362,-48.5194
25.3331,30.9788,-31.5822,-51.1134,-46.3832,-48.2142,-44.5521,-59.35314,-42.11072,-46.99353,-46.38318,-47.4513,1.98714,-44.55213,-42.56849,-50.80823,-43.0263
21.8236,30.9788,-35.2443,-46.6884,-48.5194,-47.1461,-47.9091,-59.81091,-46.84095,-51.87634,-46.99353,-42.2633,-8.694,-36.61757,-46.53577,-46.99353,-42.1107
16.9407,28.5374,-41.3478,-54.4703,-55.5384,-59.048,-58.8954,-75.06968,-63.01525,-75.06968,-53.40222,-50.9608,-18.7648,-53.55481,-54.31775,-59.65832,-49.2824
20.2977,31.7418,-38.9064,-59.6583,-56.7592,-68.5084,-63.1678,-88.49741,-77.51109,-99.63631,-53.40222,-63.1678,-24.4105,-72.47569,-60.42126,-74.76451,-51.4186
22.1287,28.2322,-39.2116,-59.8109,-57.8273,-69.7291,-66.2196,-92.00693,-88.49741,-115.9632,-58.5902,-68.2032,-25.0209,-74.45933,-63.01525,-79.7999,-51.5712
18.0089,18.9244,-44.7047,-60.4213,-62.5575,-70.1869,-71.8653,-92.46469,-98.26302,-129.3909,-69.11876,-68.8136,-21.3588,-71.40758,-68.20323,-85.59824,-53.4022
18.314,21.0606,-42.1107,-59.8109,-61.642,-68.8136,-69.4239,-90.48105,-100.7044,-132.9004,-69.72911,-67.5929,-25.4787,-72.47569,-78.42661,-93.38022,-50.1979
