EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
45.9324,25.3331,-6.71036,-25.0209,-17.8493,-3.81119,-17.2389,-2.74308,0.0035
47.4583,27.1641,2.29232,-11.4406,-9.30435,-2.59049,-12.6613,-1.67497,7.17513
49.4419,28.0796,11.9053,2.4449,2.59749,1.07161,-3.50602,3.81819,11.4476
48.2212,29.6055,18.0089,15.1097,18.1614,4.27596,5.19148,12.9735,13.7364
48.3738,33.2676,24.4175,28.69,36.1668,7.02254,14.8045,26.4012,17.7037
50.2049,35.2513,26.5538,32.6573,43.7962,9.00618,19.8399,33.878,17.7037
49.8997,32.5047,20.4503,23.3494,37.3875,6.86995,18.6192,33.4202,10.6846
49.4419,29.4529,11.7528,10.3795,27.1641,3.66561,15.8726,33.115,3.81819
51.4256,27.9271,4.88631,-1.06461,16.7882,3.81819,10.9898,30.5211,0.156088
51.5782,25.1805,-1.06461,-11.288,4.58113,1.83455,3.51302,23.6546,-5.33707
47.4583,21.671,-2.89567,-13.119,0.308676,-2.28532,1.37679,21.2132,-8.694
44.254,20.4503,0.156088,-5.0319,7.17513,-3.04826,5.34407,23.502,-6.86295
44.1014,20.7554,2.90267,2.29232,11.6002,-2.4379,5.19148,21.3658,-3.81119
43.0333,20.7554,4.58113,4.58113,11.1424,-3.20084,1.68197,16.1778,-0.301676
42.7281,20.2977,7.4803,6.86995,13.2786,-2.89567,3.81819,17.3985,2.4449
45.0169,21.0606,9.61653,9.92171,18.9244,-0.759439,9.92171,24.1124,1.37679
44.1014,21.2132,9.76912,10.6846,23.3494,0.613851,13.7364,28.3848,-0.149088
42.1177,19.077,8.09065,7.78548,22.5865,-0.759439,12.9735,29.1478,0.919027
45.6272,18.314,5.95442,1.68197,15.8726,-3.04826,9.92171,26.5538,0.613851
52.3411,20.4503,4.42855,-5.94742,6.56477,-2.4379,7.32771,22.5865,-3.35343
55.5454,20.908,4.12337,-8.38883,2.90267,-0.759439,7.63289,23.3494,-4.57413
52.3411,18.6192,6.41219,-3.50602,7.93806,-2.4379,9.00618,28.69,-1.52238
46.2376,17.3985,8.85359,1.98714,14.8045,-6.40519,8.09065,28.9952,1.52938
40.7444,17.3985,8.09065,1.83455,15.1097,-10.0673,3.97078,21.0606,2.29232
37.5401,16.6356,6.2596,-0.149088,11.4476,-11.4406,2.29232,16.3304,2.4449
36.1668,15.2623,7.32771,1.37679,11.4476,-10.0673,4.27596,20.1451,4.58113
35.4039,14.3468,8.39583,1.98714,12.0579,-10.6776,4.58113,22.5865,6.56477
34.6409,14.3468,7.02254,-0.149088,9.31135,-13.882,2.75008,20.4503,6.41219
34.0306,14.0416,3.97078,-3.65861,6.10701,-15.4079,0.0035,18.0089,4.12337
33.878,12.6683,-0.606851,-10.5251,1.68197,-15.8656,-3.81119,17.5511,-1.2172
33.115,12.6683,-4.72672,-16.3234,-1.52238,-16.476,-5.64225,19.077,-5.18448
32.0469,12.0579,-6.55777,-18.7648,-4.42155,-16.0182,-6.2526,19.2296,-5.64225
31.5892,8.39583,-5.48966,-19.6803,-10.2199,-15.713,-7.93106,15.72,-4.42155
30.3685,8.24324,-1.67497,-14.9501,-8.38883,-17.3915,-6.55777,14.0416,-1.36979
27.3167,12.5157,1.07161,-6.71036,3.97078,-19.6803,-3.96378,17.0933,0.613851
24.7227,14.3468,0.919027,-1.2172,12.8209,-19.2226,-4.42155,19.3821,0.461263
25.4857,14.4993,1.83455,1.07161,13.126,-16.9337,-4.87931,17.2459,1.07161
27.3167,14.9571,2.13973,-0.606851,9.46394,-16.6286,-5.64225,13.4312,1.2242
23.8072,14.4993,0.919027,-3.65861,7.4803,-18.0019,-7.32071,13.2786,0.613851
17.7037,13.126,3.36043,-2.4379,10.5321,-15.1027,-4.11637,18.0089,-0.149088
16.1778,11.6002,5.95442,-0.149088,14.4993,-12.2035,0.613851,21.9761,-1.36979
17.5511,10.2269,1.98714,-5.64225,10.3795,-15.5605,-2.13273,19.6873,-4.11637
17.3985,9.00618,-3.81119,-14.3398,1.2242,-18.1544,-7.16813,15.5675,-7.62589
15.8726,9.46394,-4.87931,-16.6286,-2.13273,-16.0182,-5.33707,15.72,-8.84659
16.6356,10.2269,-3.81119,-14.7975,-0.606851,-14.9501,-1.82755,16.0252,-7.32071
17.8563,8.39583,-4.57413,-13.7294,0.919027,-17.8493,-4.87931,12.9735,-5.48966
14.8045,5.49666,-7.4733,-14.7975,0.613851,-21.9691,-11.288,9.46394,-6.86295
12.5157,3.05526,-10.5251,-17.5441,-2.4379,-24.4105,-15.5605,6.2596,-10.6776
15.4149,2.4449,-8.08365,-14.0346,1.68197,-23.1898,-12.8139,7.63289,-9.76212
17.5511,6.2596,1.68197,-2.13273,15.1097,-20.4433,-3.50602,14.6519,-3.04826
16.1778,8.24324,5.49666,2.29232,17.5511,-20.1381,0.308676,16.483,-0.454263
15.72,4.27596,-3.81119,-8.23624,4.12337,-23.1898,-6.71036,8.701,-6.71036
15.5675,1.68197,-12.3561,-18.1544,-3.96378,-26.3942,-13.7294,4.12337,-10.3725
10.8372,3.20784,-12.0509,-20.5958,-3.20084,-28.3778,-15.713,6.2596,-6.10001
5.0389,4.58113,-11.1354,-23.9528,-8.08365,-28.3778,-16.0182,4.88631,-3.65861
4.42855,4.12337,-12.0509,-26.3942,-14.4923,-26.089,-14.1872,2.4449,-5.64225
5.19148,3.51302,-9.76212,-21.0536,-10.3725,-24.5631,-10.0673,5.80184,-5.0319
0.613851,4.42855,-2.4379,-10.2199,3.05526,-24.258,-5.48966,14.1942,1.52938
-4.26896,5.64925,2.29232,-2.74308,14.3468,-23.9528,-1.36979,21.2132,5.19148
-4.11637,4.88631,-0.912027,-4.57413,14.1942,-24.258,-1.06461,20.2977,-0.454263
-3.04826,2.59749,-7.32071,-9.45694,8.24324,-27.7675,-7.93106,11.4476,-5.94742
-4.72672,2.4449,-6.86295,-7.77848,8.09065,-31.1244,-12.9665,6.71736,-2.28532
-5.33707,4.73372,-1.52238,-3.81119,9.92171,-29.5985,-10.2199,10.3795,2.75008
-3.96378,4.88631,-5.18448,-11.1354,2.75008,-28.2252,-9.91471,9.15877,-1.36979
-5.0319,0.0035,-16.3234,-25.9364,-8.84659,-30.5141,-16.1708,0.919027,-8.08365
-7.62589,-2.74308,-18.9174,-29.7511,-11.4406,-32.1925,-18.1544,-0.149088,-5.94742
-7.62589,-0.454263,-11.7458,-22.8847,-7.32071,-30.6666,-12.8139,6.41219,0.156088
-6.71036,0.613851,-8.08365,-18.9174,-7.01554,-30.3615,-8.694,8.54842,0.766439
-5.33707,-1.06461,-9.76212,-16.3234,-3.65861,-32.1925,-7.77848,8.54842,-2.59049
-0.301676,0.0035,-7.32071,-8.08365,10.6846,-31.1244,-5.18448,14.8045,-3.50602
1.68197,3.20784,-0.301676,0.0035,21.8236,-29.5985,-3.96378,17.7037,1.68197
-3.20084,1.98714,0.919027,-2.28532,15.5675,-32.3451,-9.15177,9.76912,5.95442
-6.55777,-2.13273,-3.81119,-8.38883,5.49666,-34.9391,-12.8139,4.58113,4.12337
-2.59049,-1.52238,-3.96378,-7.16813,8.54842,-32.6503,-7.62589,10.5321,3.05526
3.51302,2.13973,0.308676,-3.20084,15.2623,-28.3778,-0.606851,18.1614,4.27596
5.49666,1.52938,1.2242,-4.72672,14.9571,-26.6994,1.07161,20.6028,3.51302
3.66561,-1.2172,-3.04826,-13.119,8.39583,-28.9882,-2.59049,16.0252,0.0035
3.36043,-1.98014,-9.76212,-23.8002,-2.13273,-31.8873,-9.60953,7.32771,-3.96378
5.0389,-2.74308,-12.9665,-28.5304,-10.5251,-32.4977,-13.2716,4.27596,-6.71036
5.64925,-4.11637,-9.15177,-23.9528,-11.5932,-30.0563,-9.76212,7.93806,-5.79484
2.29232,-3.96378,-4.42155,-16.0182,-3.65861,-27.6149,-5.48966,12.2105,-1.36979
-2.13273,-2.89567,-2.89567,-8.84659,9.00618,-29.9037,-4.57413,13.889,2.90267
-2.59049,-1.98014,1.07161,-0.912027,17.3985,-32.0399,-3.81119,13.4312,6.71736
0.0035,-0.912027,5.34407,2.90267,16.1778,-30.0563,-2.59049,9.31135,8.24324
3.51302,1.07161,4.42855,-2.13273,10.5321,-27.1571,-2.28532,6.10701,5.49666
5.19148,2.75008,2.90267,-5.64225,10.3795,-25.1735,-1.2172,10.8372,5.80184
1.83455,0.766439,3.51302,-4.57413,11.7528,-25.6312,-0.606851,14.6519,11.1424
-4.11637,-4.11637,2.13973,-7.01554,6.2596,-29.5985,-4.42155,9.61653,14.4993
-8.08365,-6.10001,-3.81119,-17.5441,-1.36979,-33.871,-10.6776,3.66561,10.8372
-9.60953,-4.72672,-11.5932,-31.4296,-7.4733,-34.6339,-14.9501,1.83455,3.97078
-10.0673,-3.65861,-15.2553,-38.4486,-15.4079,-31.4296,-15.8656,0.461263,2.13973
-10.9828,-2.74308,-9.30435,-31.7348,-19.3751,-27.3097,-13.882,-1.36979,6.86995
-17.2389,-2.4379,0.461263,-15.4079,-8.54142,-28.5304,-8.99918,0.919027,13.126
-25.4787,-3.81119,2.59749,-3.35343,8.85359,-34.4813,-4.11637,5.80184,13.5838
-26.8519,-7.62589,-1.98014,-2.13273,15.8726,-36.9227,-3.20084,8.24324,7.17513
-22.5795,-12.5087,-5.79484,-6.55777,12.6683,-35.8546,-7.01554,5.80184,1.2242
-21.2062,-16.1708,-11.8983,-18.0019,0.156088,-39.3641,-16.6286,-4.26896,-4.11637
-22.5795,-17.2389,-23.0373,-35.8546,-19.5277,-44.7047,-29.4459,-17.0863,-11.4406
-21.3588,-16.1708,-32.4977,-49.1298,-30.8192,-44.8573,-36.7702,-21.5114,-16.9337
-20.5958,-16.6286,-38.296,-57.5221,-34.4813,-43.7892,-39.059,-19.2226,-19.07
