EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
-9.15177,-31.1244,-34.7865,-18.7648,-12.8139,-69.4239,-35.2443,-7.16813,-29.5985
-11.7458,-30.2089,-31.8873,-17.5441,-14.0346,-68.2032,-35.0917,-8.38883,-26.3942
-13.882,-31.277,-30.8192,-18.7648,-16.9337,-68.3558,-37.5331,-10.9828,-23.6476
-13.2716,-31.4296,-30.9718,-20.1381,-18.9174,-68.661,-40.1271,-13.4242,-22.8847
-12.3561,-30.5141,-29.7511,-17.3915,-17.0863,-68.5084,-40.4323,-15.1027,-21.664
-15.1027,-30.9718,-31.1244,-16.6286,-16.3234,-71.7128,-43.6366,-18.1544,-20.901
-19.07,-34.3287,-37.5331,-20.7484,-19.2226,-77.8163,-49.4349,-21.2062,-22.1217
-20.4433,-37.8383,-42.2633,-22.8847,-21.2062,-80.2577,-50.6556,-22.4269,-23.495
-19.8329,-38.296,-40.7374,-20.4433,-20.4433,-78.274,-48.0616,-22.7321,-22.4269
-20.2907,-36.9227,-38.296,-18.0019,-19.8329,-78.274,-47.7565,-22.4269,-19.2226
-20.901,-36.3124,-38.6012,-16.1708,-19.07,-80.2577,-48.3668,-19.9855,-15.8656
-19.8329,-36.3124,-38.1434,-14.6449,-18.0019,-81.7835,-47.9091,-17.6967,-14.0346
-19.6803,-34.7865,-35.702,-15.1027,-18.1544,-81.9361,-48.3668,-19.2226,-15.1027
-19.8329,-31.4296,-32.3451,-14.0346,-17.2389,-79.7999,-47.9091,-20.901,-14.4923
-18.4596,-30.6666,-28.9882,-9.91471,-14.0346,-76.7481,-45.4677,-20.2907,-9.76212
-18.6122,-33.7184,-28.0726,-8.08365,-14.0346,-77.5111,-45.9254,-22.2743,-7.93106
-21.2062,-35.0917,-29.7511,-11.1354,-18.1544,-81.4784,-49.4349,-27.7675,-11.8983
-22.8847,-33.108,-30.5141,-13.119,-20.7484,-83.9198,-51.1134,-30.3615,-14.7975
-22.5795,-31.5822,-29.2934,-10.5251,-18.4596,-82.5465,-50.1979,-28.3778,-12.6613
-21.8166,-31.7348,-27.4623,-6.55777,-15.4079,-79.7999,-48.5194,-24.8683,-10.3725
-21.2062,-32.4977,-28.2252,-7.62589,-16.0182,-79.037,-47.1461,-22.7321,-12.3561
-21.664,-33.5658,-32.1925,-13.882,-20.7484,-80.1051,-47.9091,-24.258,-16.7812
-23.495,-34.4813,-34.4813,-17.5441,-25.6312,-81.4784,-50.6556,-29.1408,-19.07
-23.9528,-34.7865,-33.2606,-15.8656,-27.6149,-84.5301,-53.86,-34.3287,-17.5441
-23.6476,-36.0072,-34.4813,-15.2553,-28.5304,-88.9552,-58.1324,-37.8383,-17.0863
-24.258,-38.1434,-40.2797,-20.2907,-30.8192,-91.8543,-62.4049,-40.4323,-21.2062
-25.6312,-39.6693,-43.7892,-24.4105,-33.871,-92.1595,-64.236,-42.8737,-24.8683
-28.9882,-41.1952,-42.4159,-22.7321,-35.8546,-91.244,-63.1678,-45.0099,-24.1054
-33.2606,-43.484,-40.89,-19.9855,-36.0072,-90.0233,-60.7264,-44.3995,-21.664
-36.0072,-44.8573,-40.4323,-18.9174,-34.0236,-89.4129,-59.6583,-42.1107,-19.9855
-36.0072,-43.3314,-39.3641,-19.07,-31.8873,-89.5655,-60.5738,-42.5685,-19.5277
