EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
8.24324,14.6519,21.2132,20.7554,22.5865,15.2623,36.472,48.2212,61.1912,47.9161,15.72,30.9788,64.3955,31.8943,60.1231,48.8316,23.1968
0.766439,9.76912,9.61653,10.8372,12.0579,9.92171,33.2676,47.4583,63.48,52.9515,11.1424,25.6382,62.1067,31.1314,62.1067,54.3247,10.5321
4.27596,8.54842,13.889,8.701,19.8399,14.3468,40.4393,51.5782,72.9405,62.2593,19.2296,27.1641,72.7879,38.9134,72.6353,63.6326,11.295
13.5838,11.7528,27.3167,12.8209,38.4556,26.5538,50.6626,61.649,84.2319,74.4663,31.7418,32.6573,87.1311,51.1204,82.5535,75.5344,21.671
13.7364,12.0579,33.5728,18.314,50.5101,38.1504,56.6136,71.4146,91.8613,82.7061,36.0142,38.6082,93.3872,61.0386,87.5889,81.7905,27.3167
4.73372,8.09065,30.3685,22.4339,53.4092,41.3548,60.4283,70.1939,93.845,78.8914,32.1995,41.5074,93.9976,63.0222,90.7932,76.1448,25.3331
2.13973,8.09065,30.2159,24.8753,54.7825,38.303,60.4283,61.0386,88.1992,65.4637,30.6736,40.5918,93.3872,55.3929,88.0466,61.8015,26.8589
12.9735,15.2623,38.9134,29.3004,58.4446,37.6927,52.7989,55.8506,75.687,53.4092,35.0987,39.9815,89.5725,47.0005,74.7715,50.0523,37.0823
19.3821,19.5347,41.66,35.4039,56.0032,39.066,35.709,52.1885,53.104,42.1177,34.3357,41.3548,79.1966,41.5074,50.9678,41.8125,43.1858
9.76912,17.0933,32.1995,39.3711,43.7962,35.709,12.3631,39.066,20.908,22.2813,23.3494,41.8125,65.9214,34.3357,24.1124,29.1478,39.066
2.59749,15.5675,27.9271,39.5237,32.0469,27.1641,-8.23624,19.6873,-8.23624,-2.4379,16.9407,40.4393,57.3765,25.3331,3.81819,13.5838,36.0142
9.46394,17.8563,32.8099,36.1668,27.4693,20.908,-14.9501,11.4476,-14.6449,-12.6613,20.1451,37.8453,55.0877,23.1968,-0.301676,9.76912,37.0823
15.1097,18.4666,32.1995,33.5728,27.7745,25.3331,1.2242,25.1805,9.31135,3.36043,20.2977,37.6927,57.3765,30.8262,18.0089,22.7391,35.4039
8.54842,14.9571,25.6382,34.9461,29.9107,37.9979,29.9107,49.8997,42.2703,30.2159,16.483,42.5755,64.243,41.66,47.4583,38.6082,30.6736
1.07161,11.7528,23.9598,35.4039,32.5047,44.7117,49.1368,66.3792,62.4119,47.3057,17.8563,45.9324,72.7879,48.679,69.4309,47.6109,28.5374
2.13973,11.9053,24.7227,30.0633,32.3521,41.0496,54.9351,72.0249,73.856,56.3084,20.6028,43.0333,76.45,50.8152,79.6543,55.698,29.1478
2.13973,11.295,19.3821,24.265,26.8589,37.9979,56.461,75.3819,84.0794,65.6162,14.3468,41.2022,74.0086,52.9515,84.6897,66.3792,26.096
-3.81119,8.701,12.9735,25.6382,23.502,41.2022,59.2076,77.6707,90.3355,73.5508,5.80184,45.0169,73.7034,57.9869,89.2673,74.7715,21.0606
-4.87931,8.09065,14.1942,27.9271,28.3848,42.7281,59.5127,75.3819,88.5044,76.1448,8.09065,47.3057,77.3655,60.2757,88.1992,77.0603,21.9761
2.4449,10.2269,18.4666,21.5184,31.7418,37.6927,49.4419,69.1258,78.7388,74.9241,16.3304,43.0333,76.9077,56.9187,74.3137,73.856,24.5701
5.80184,10.3795,16.483,13.4312,25.3331,32.9625,33.115,61.0386,66.9895,72.9405,17.3985,39.6763,70.4991,54.7825,55.8506,69.4309,20.4503
0.919027,7.17513,10.6846,13.2786,18.7718,31.7418,25.6382,52.3411,60.1231,68.3628,12.3631,41.8125,67.4473,55.8506,48.679,64.7007,14.8045
