EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
-15.8656,0.613851,167.3923,-0.759439,29.7581,9.31135,12.2105,-1.98014,-0.759439
-14.6449,-0.454263,166.1716,0.0035,29.6055,8.24324,9.76912,-5.18448,-2.59049
-17.6967,-1.52238,163.5776,-0.149088,28.69,10.6846,6.41219,-5.33707,-2.89567
-20.7484,-0.606851,162.9672,0.766439,28.3848,11.6002,6.71736,-3.96378,-0.912027
-17.5441,0.156088,161.8991,-1.2172,25.3331,9.92171,8.09065,-7.01554,0.613851
-13.882,-0.912027,160.0681,-3.96378,24.1124,9.00618,7.63289,-8.54142,1.07161
-17.8493,-5.33707,156.7111,-6.2526,24.8753,4.12337,3.81819,-7.16813,-1.82755
-23.8002,-10.6776,151.218,-10.5251,21.3658,-4.87931,-0.759439,-9.91471,-7.77848
-24.4105,-12.2035,148.624,-11.7458,17.5511,-7.16813,-1.52238,-12.9665,-10.3725
-21.9691,-11.1354,152.1335,-5.33707,22.4339,0.156088,1.68197,-8.23624,-6.71036
-24.8683,-11.7458,154.4223,0.461263,29.4529,4.27596,5.0389,-0.912027,-4.87931
-30.6666,-10.5251,153.049,1.37679,30.9788,5.19148,8.701,2.4449,-6.86295
-24.5631,-3.50602,155.643,2.90267,32.6573,13.2786,15.2623,5.19148,-3.81119
-13.4242,1.83455,157.6267,3.20784,34.3357,16.6356,17.5511,5.0389,1.2242
-12.0509,0.766439,154.1171,-1.06461,30.2159,8.54842,12.5157,1.07161,0.308676
-14.0346,-0.912027,151.5232,-3.50602,26.2486,7.02254,8.85359,-0.454263,-2.89567
-13.119,-1.2172,151.9809,-0.912027,27.4693,13.4312,9.46394,1.07161,-3.50602
-15.4079,-1.2172,152.1335,1.07161,29.9107,11.9053,9.46394,1.68197,-3.50602
-22.2743,-1.82755,150.455,-0.912027,27.7745,3.51302,5.34407,-1.06461,-3.96378
-22.5795,0.0035,151.0654,-0.606851,27.3167,2.4449,4.42855,-1.36979,0.0035
-14.4923,1.98714,151.5232,2.4449,30.6736,5.19148,8.39583,1.83455,5.34407
-12.9665,-1.52238,145.2671,-0.606851,27.7745,3.05526,6.56477,-0.606851,3.05526
-18.4596,-3.50602,139.7739,-4.87931,22.2813,4.73372,3.81819,-4.42155,-1.2172
-15.4079,2.29232,144.1989,-1.06461,25.0279,12.5157,8.701,0.0035,2.90267
-10.3725,4.73372,147.2507,1.83455,26.4012,12.6683,12.3631,2.59749,6.86995
-18.7648,-5.79484,136.7221,-8.694,15.2623,1.07161,2.29232,-9.15177,-1.98014
-27.0045,-12.9665,128.4824,-17.2389,7.32771,-5.18448,-6.71036,-17.0863,-9.76212
-20.1381,-3.96378,137.9428,-6.10001,19.5347,4.42855,3.97078,-3.81119,0.156088
-15.1027,0.156088,144.6567,4.73372,31.7418,10.0743,12.9735,7.32771,8.24324
-25.4787,-12.0509,135.0437,-0.149088,25.7908,-0.301676,4.27596,0.308676,-0.301676
-33.2606,-14.1872,132.2971,-1.06461,23.3494,-3.65861,3.20784,-1.36979,-3.20084
-28.9882,-1.98014,140.9946,7.4803,32.3521,6.86995,14.1942,8.09065,5.19148
-22.5795,1.07161,141.4524,7.63289,33.5728,12.5157,16.1778,8.24324,6.86995
-18.1544,-3.04826,134.8911,0.919027,25.9434,12.6683,13.7364,1.52938,-0.301676
-14.7975,-0.454263,133.823,-0.454263,23.502,15.8726,15.8726,2.59749,-3.96378
-12.2035,2.75008,133.2126,-0.912027,22.1287,15.5675,11.6002,3.81819,-2.59049
-11.5932,-0.301676,128.1772,-6.10001,15.2623,12.2105,2.90267,-3.81119,-4.42155
-13.7294,-3.96378,124.0574,-11.4406,9.46394,11.7528,2.59749,-10.9828,-10.0673
-18.0019,-5.0319,122.2263,-12.9665,9.15877,7.78548,3.51302,-11.7458,-13.882
-20.1381,-6.10001,122.0737,-11.1354,11.4476,3.36043,0.613851,-10.9828,-12.3561
-19.07,-7.93106,123.2944,-7.32071,14.1942,6.10701,1.52938,-9.91471,-8.23624
-19.3751,-8.08365,125.4306,-1.98014,18.7718,9.92171,8.701,-5.18448,-5.0319
-24.1054,-8.84659,122.8367,-2.74308,19.5347,8.09065,9.15877,-3.96378,-6.10001
-25.7838,-9.15177,117.0383,-10.2199,13.889,7.32771,0.461263,-8.84659,-7.93106
-19.9855,-6.2526,116.5806,-13.2716,12.0579,10.2269,-2.74308,-8.23624,-5.94742
-16.9337,-6.40519,116.2754,-12.8139,12.8209,7.93806,0.156088,-5.79484,-5.33707
-18.0019,-8.99918,113.6814,-11.288,12.8209,3.66561,1.52938,-6.55777,-5.94742
-16.6286,-7.62589,115.0547,-6.10001,15.2623,6.56477,4.58113,-3.96378,-3.35343
-17.5441,-7.01554,115.5124,-5.18448,14.1942,10.6846,7.17513,-4.11637,-4.26896
-22.8847,-8.54142,112.4607,-9.91471,10.6846,11.295,6.56477,-10.0673,-8.84659
-22.7321,-7.93106,111.3926,-10.9828,12.0579,9.76912,2.90267,-10.6776,-8.84659
-13.119,-5.48966,113.3762,-6.10001,17.0933,9.92171,2.13973,-3.96378,-4.72672
-5.64225,-1.2172,117.8013,0.766439,22.2813,15.5675,10.8372,2.13973,0.461263
